run_id,cell_id,trial_id,repeat_index,prompt_id,prompt_label,baseline_id,baseline_label,session_id,round_id,round_index,candidate_id,candidate_index,sampler_role,seed,render_status,image_path,carried_forward,selected,z,generation_params,entropy,channel_stddev,brightness_mean,edge_mean,passed_checks,failed_checks
product_hero_shot__prompt_only_manual__r1,product_hero_shot__prompt_only_manual,r1,0,product_hero_shot,Product hero shot,prompt_only_manual,Prompt-only manual iteration,ses_a901be251ca5,rnd_b99fb0ea0c54,1,cand_aadb8c9049e2,0,baseline_prompt,2343403554,succeeded,/artifacts/cand_aadb8c9049e2.png,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""baseline_prompt"": true, ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 2343403554, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_applied"": false, ""steering_mode"": ""low_dimensional""}",7.215,72.157,114.207,26.412,5,[]
product_hero_shot__prompt_only_manual__r2,product_hero_shot__prompt_only_manual,r2,1,product_hero_shot,Product hero shot,prompt_only_manual,Prompt-only manual iteration,ses_c4f305b39191,rnd_d5ae9a75c114,1,cand_498a2cf73051,0,baseline_prompt,3266545135,succeeded,/artifacts/cand_498a2cf73051.png,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""baseline_prompt"": true, ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3266545135, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_applied"": false, ""steering_mode"": ""low_dimensional""}",7.477,54.255,124.751,17.779,5,[]
product_hero_shot__prompt_only_manual__r3,product_hero_shot__prompt_only_manual,r3,2,product_hero_shot,Product hero shot,prompt_only_manual,Prompt-only manual iteration,ses_285817edca68,rnd_9cac122cc786,1,cand_dfbe8c456362,0,baseline_prompt,2014721113,succeeded,/artifacts/cand_dfbe8c456362.png,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""baseline_prompt"": true, ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 2014721113, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_applied"": false, ""steering_mode"": ""low_dimensional""}",7.715,57.97,112.973,32.169,5,[]
product_hero_shot__no_update_random_sampling__r1,product_hero_shot__no_update_random_sampling,r1,0,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_abc1c1d3b375,rnd_ba8f2f5b9892,1,cand_097324b5edcd,0,baseline_prompt,3705302861,succeeded,/artifacts/cand_097324b5edcd.png,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""baseline_prompt"": true, ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3705302861, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_applied"": false, ""steering_mode"": ""low_dimensional""}",7.637,64.395,104.247,37.955,5,[]
product_hero_shot__no_update_random_sampling__r1,product_hero_shot__no_update_random_sampling,r1,0,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_abc1c1d3b375,rnd_ba8f2f5b9892,1,cand_99a6b37e3a07,1,exploit,3705302861,succeeded,/artifacts/cand_99a6b37e3a07.png,False,False,"[0.08151068396911548, 0.045792842889600734, 0.0810566199758494, 0.043880505011865294, -0.08049440711608309]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 0.6, ""first_round_role_behavior"": ""keep_exploit_close"", ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.15400000000000003, ""round_seed"": 3705302861, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.637,63.855,103.913,37.328,5,[]
product_hero_shot__no_update_random_sampling__r1,product_hero_shot__no_update_random_sampling,r1,0,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_abc1c1d3b375,rnd_ba8f2f5b9892,1,cand_26f67caed355,2,explore,3705302861,succeeded,/artifacts/cand_26f67caed355.png,False,False,"[0.10169560365775242, -0.5162804312261063, -0.2806627661155729, 0.18261267100564993, -0.13086438870292205]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.25, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [0.0, -0.8331, -0.4582, 0.2499, -0.1833], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.49500000000000005, ""round_seed"": 3705302861, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.651,62.44,103.131,36.575,5,[]
product_hero_shot__no_update_random_sampling__r1,product_hero_shot__no_update_random_sampling,r1,0,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_abc1c1d3b375,rnd_ba8f2f5b9892,1,cand_d85da6e7e7d6,3,explore,3705302861,succeeded,/artifacts/cand_d85da6e7e7d6.png,False,False,"[0.11887461689872122, -0.14203290667780244, 0.5175196654817711, 0.3534573502146849, -0.18194491937420793]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.35, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [0.1833, 0.0, 0.8331, 0.4582, -0.2499], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.49500000000000005, ""round_seed"": 3705302861, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.61,65.356,104.977,38.994,5,[]
product_hero_shot__no_update_random_sampling__r1,product_hero_shot__no_update_random_sampling,r1,0,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_abc1c1d3b375,rnd_ba8f2f5b9892,1,cand_c7370fe034ba,4,explore,3705302861,succeeded,/artifacts/cand_c7370fe034ba.png,False,False,"[-0.17587501434976294, -0.12763898238675295, 0.15933871009026787, -0.5070489496403962, 0.3087351711197954]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.45, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [-0.2499, -0.1833, 0.0, -0.8331, 0.4582], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.49500000000000005, ""round_seed"": 3705302861, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.586,62.274,104.528,36.078,5,[]
product_hero_shot__no_update_random_sampling__r2,product_hero_shot__no_update_random_sampling,r2,1,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_ebfe9846426d,rnd_2150d12a1b07,1,cand_017d4b520607,0,baseline_prompt,2389708878,succeeded,/artifacts/cand_017d4b520607.png,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""baseline_prompt"": true, ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 2389708878, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_applied"": false, ""steering_mode"": ""low_dimensional""}",7.677,64.894,92.76,24.308,5,[]
product_hero_shot__no_update_random_sampling__r2,product_hero_shot__no_update_random_sampling,r2,1,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_ebfe9846426d,rnd_2150d12a1b07,1,cand_d0ba1739f777,1,exploit,2389708878,succeeded,/artifacts/cand_d0ba1739f777.png,False,False,"[0.028441634253917353, -0.04811958882750854, 0.045205512193815134, 0.11325760294640427, 0.04944717487357386]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 0.6, ""first_round_role_behavior"": ""keep_exploit_close"", ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""proposal_role_radius"": 0.15400000000000003, ""round_seed"": 2389708878, ""seed_group"": ""round_shared"", ""seed_policy"": ""fixed-per-round"", ""steering_mode"": ""low_dimensional""}",7.671,64.804,92.884,24.055,5,[]
