run_id,cell_id,trial_id,repeat_index,prompt_id,prompt_label,baseline_id,baseline_label,session_id,round_id,round_index,candidate_count,feedback_count,render_status,latency_ms,selected_candidate_id
product_hero_shot__prompt_only_manual__r1,product_hero_shot__prompt_only_manual,r1,0,product_hero_shot,Product hero shot,prompt_only_manual,Prompt-only manual iteration,ses_a901be251ca5,rnd_b99fb0ea0c54,1,1,0,succeeded,15,cand_aadb8c9049e2
product_hero_shot__prompt_only_manual__r2,product_hero_shot__prompt_only_manual,r2,1,product_hero_shot,Product hero shot,prompt_only_manual,Prompt-only manual iteration,ses_c4f305b39191,rnd_d5ae9a75c114,1,1,0,succeeded,15,cand_498a2cf73051
product_hero_shot__prompt_only_manual__r3,product_hero_shot__prompt_only_manual,r3,2,product_hero_shot,Product hero shot,prompt_only_manual,Prompt-only manual iteration,ses_285817edca68,rnd_9cac122cc786,1,1,0,succeeded,15,cand_dfbe8c456362
product_hero_shot__no_update_random_sampling__r1,product_hero_shot__no_update_random_sampling,r1,0,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_abc1c1d3b375,rnd_ba8f2f5b9892,1,5,0,succeeded,75,
product_hero_shot__no_update_random_sampling__r2,product_hero_shot__no_update_random_sampling,r2,1,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_ebfe9846426d,rnd_2150d12a1b07,1,5,0,succeeded,75,
product_hero_shot__no_update_random_sampling__r3,product_hero_shot__no_update_random_sampling,r3,2,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_7aba0df8c0dc,rnd_fb9c2ab8800e,1,5,0,succeeded,75,
product_hero_shot__stablesteering_default__r1,product_hero_shot__stablesteering_default,r1,0,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_1542e8b9b1f2,rnd_ff47e8b1b0ad,1,5,1,succeeded,75,cand_a8eb828b3744
product_hero_shot__stablesteering_default__r1,product_hero_shot__stablesteering_default,r1,0,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_1542e8b9b1f2,rnd_d354dd08e79a,2,5,0,succeeded,75,cand_a8eb828b3744
product_hero_shot__stablesteering_default__r2,product_hero_shot__stablesteering_default,r2,1,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_35940cd07272,rnd_dfb30ba73bdc,1,5,1,succeeded,75,cand_eaec6b45537c
product_hero_shot__stablesteering_default__r2,product_hero_shot__stablesteering_default,r2,1,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_35940cd07272,rnd_3c318277e961,2,5,0,succeeded,75,cand_eaec6b45537c
product_hero_shot__stablesteering_default__r3,product_hero_shot__stablesteering_default,r3,2,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_1a82ec81fdbd,rnd_2b1848e8e9aa,1,5,1,succeeded,75,cand_8fb0bc4fcf4f
product_hero_shot__stablesteering_default__r3,product_hero_shot__stablesteering_default,r3,2,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_1a82ec81fdbd,rnd_26fcfcef0990,2,5,0,succeeded,75,cand_8fb0bc4fcf4f
portrait_character__prompt_only_manual__r1,portrait_character__prompt_only_manual,r1,0,portrait_character,Portrait / character,prompt_only_manual,Prompt-only manual iteration,ses_7f6203d0d01b,rnd_f3c2171f6191,1,1,0,succeeded,15,cand_c31f3c585dfb
portrait_character__prompt_only_manual__r2,portrait_character__prompt_only_manual,r2,1,portrait_character,Portrait / character,prompt_only_manual,Prompt-only manual iteration,ses_388ad2c1b2eb,rnd_338f61d52ace,1,1,0,succeeded,15,cand_91cbaa2488c3
portrait_character__prompt_only_manual__r3,portrait_character__prompt_only_manual,r3,2,portrait_character,Portrait / character,prompt_only_manual,Prompt-only manual iteration,ses_0903a16eaf35,rnd_c0c1146fc930,1,1,0,succeeded,15,cand_d6bdd1d9f12c
portrait_character__no_update_random_sampling__r1,portrait_character__no_update_random_sampling,r1,0,portrait_character,Portrait / character,no_update_random_sampling,No-update random sampling,ses_8d2229688ed3,rnd_515c2ae17034,1,5,0,succeeded,75,
portrait_character__no_update_random_sampling__r2,portrait_character__no_update_random_sampling,r2,1,portrait_character,Portrait / character,no_update_random_sampling,No-update random sampling,ses_d8b69c388ee0,rnd_fcfff8a5f6a3,1,5,0,succeeded,75,
portrait_character__no_update_random_sampling__r3,portrait_character__no_update_random_sampling,r3,2,portrait_character,Portrait / character,no_update_random_sampling,No-update random sampling,ses_444952b8cba0,rnd_ed5b8ddc030d,1,5,0,succeeded,75,
portrait_character__stablesteering_default__r1,portrait_character__stablesteering_default,r1,0,portrait_character,Portrait / character,stablesteering_default,StableSteering default steering loop,ses_d6b51f1dc8e0,rnd_3016347e72ef,1,5,1,succeeded,75,cand_2f417b9c06db
portrait_character__stablesteering_default__r1,portrait_character__stablesteering_default,r1,0,portrait_character,Portrait / character,stablesteering_default,StableSteering default steering loop,ses_d6b51f1dc8e0,rnd_b0ad3b178dd5,2,5,0,succeeded,75,cand_2f417b9c06db
portrait_character__stablesteering_default__r2,portrait_character__stablesteering_default,r2,1,portrait_character,Portrait / character,stablesteering_default,StableSteering default steering loop,ses_d9e2ff77590b,rnd_32f5a20c19f7,1,5,1,succeeded,75,cand_8bda2d623f03
portrait_character__stablesteering_default__r2,portrait_character__stablesteering_default,r2,1,portrait_character,Portrait / character,stablesteering_default,StableSteering default steering loop,ses_d9e2ff77590b,rnd_d1ffb8bace88,2,5,0,succeeded,75,cand_8bda2d623f03
portrait_character__stablesteering_default__r3,portrait_character__stablesteering_default,r3,2,portrait_character,Portrait / character,stablesteering_default,StableSteering default steering loop,ses_ea000ced2fa1,rnd_ae1a9580c921,1,5,1,succeeded,75,cand_1c3d41931cd4
portrait_character__stablesteering_default__r3,portrait_character__stablesteering_default,r3,2,portrait_character,Portrait / character,stablesteering_default,StableSteering default steering loop,ses_ea000ced2fa1,rnd_b1abfe32b6f0,2,5,0,succeeded,75,cand_1c3d41931cd4
landscape_environment__prompt_only_manual__r1,landscape_environment__prompt_only_manual,r1,0,landscape_environment,Landscape / environment,prompt_only_manual,Prompt-only manual iteration,ses_a5f10dd889eb,rnd_5286882d7390,1,1,0,succeeded,15,cand_4528f923e202
landscape_environment__prompt_only_manual__r2,landscape_environment__prompt_only_manual,r2,1,landscape_environment,Landscape / environment,prompt_only_manual,Prompt-only manual iteration,ses_2fd26104c5d2,rnd_e54e3779c389,1,1,0,succeeded,15,cand_26cbc7d3a1d8
landscape_environment__prompt_only_manual__r3,landscape_environment__prompt_only_manual,r3,2,landscape_environment,Landscape / environment,prompt_only_manual,Prompt-only manual iteration,ses_937ee6faada3,rnd_d9b99de4d7cc,1,1,0,succeeded,15,cand_476f8fd9eb3e
landscape_environment__no_update_random_sampling__r1,landscape_environment__no_update_random_sampling,r1,0,landscape_environment,Landscape / environment,no_update_random_sampling,No-update random sampling,ses_54aa9eb39d50,rnd_cd4afc32b477,1,5,0,succeeded,75,
landscape_environment__no_update_random_sampling__r2,landscape_environment__no_update_random_sampling,r2,1,landscape_environment,Landscape / environment,no_update_random_sampling,No-update random sampling,ses_95f5815b2177,rnd_3a6b753cecea,1,5,0,succeeded,75,
landscape_environment__no_update_random_sampling__r3,landscape_environment__no_update_random_sampling,r3,2,landscape_environment,Landscape / environment,no_update_random_sampling,No-update random sampling,ses_c328ccc7b0be,rnd_65d765adf9f8,1,5,0,succeeded,75,
landscape_environment__stablesteering_default__r1,landscape_environment__stablesteering_default,r1,0,landscape_environment,Landscape / environment,stablesteering_default,StableSteering default steering loop,ses_9f581379201d,rnd_a03b74dee92e,1,5,1,succeeded,75,cand_7253e02459bc
landscape_environment__stablesteering_default__r1,landscape_environment__stablesteering_default,r1,0,landscape_environment,Landscape / environment,stablesteering_default,StableSteering default steering loop,ses_9f581379201d,rnd_c17dcf95ddad,2,5,0,succeeded,75,cand_7253e02459bc
landscape_environment__stablesteering_default__r2,landscape_environment__stablesteering_default,r2,1,landscape_environment,Landscape / environment,stablesteering_default,StableSteering default steering loop,ses_28ef4c6e7967,rnd_ee4c00baa51c,1,5,1,succeeded,75,cand_0184d13206d5
landscape_environment__stablesteering_default__r2,landscape_environment__stablesteering_default,r2,1,landscape_environment,Landscape / environment,stablesteering_default,StableSteering default steering loop,ses_28ef4c6e7967,rnd_833f80212d15,2,5,0,succeeded,75,cand_0184d13206d5
landscape_environment__stablesteering_default__r3,landscape_environment__stablesteering_default,r3,2,landscape_environment,Landscape / environment,stablesteering_default,StableSteering default steering loop,ses_e31b7164701e,rnd_124499563968,1,5,1,succeeded,75,cand_562992c6c833
landscape_environment__stablesteering_default__r3,landscape_environment__stablesteering_default,r3,2,landscape_environment,Landscape / environment,stablesteering_default,StableSteering default steering loop,ses_e31b7164701e,rnd_514dc0a28376,2,5,0,succeeded,75,cand_562992c6c833
