run_id,cell_id,trial_id,repeat_index,prompt_id,prompt_label,baseline_id,baseline_label,session_id,experiment_id,rounds_completed,feedback_events,selected_candidate_id,trace_report,runtime_root,policy_mode,status,error
product_hero_shot__prompt_only_manual__r1,product_hero_shot__prompt_only_manual,r1,0,product_hero_shot,Product hero shot,prompt_only_manual,Prompt-only manual iteration,ses_a901be251ca5,exp_af57b77a43f0,1,0,cand_aadb8c9049e2,runs\product_hero_shot__prompt_only_manual__r1\trace_report.html,runs\product_hero_shot__prompt_only_manual__r1\runtime,prompt_only_proxy,completed,
product_hero_shot__prompt_only_manual__r2,product_hero_shot__prompt_only_manual,r2,1,product_hero_shot,Product hero shot,prompt_only_manual,Prompt-only manual iteration,ses_c4f305b39191,exp_573837d9fbf5,1,0,cand_498a2cf73051,runs\product_hero_shot__prompt_only_manual__r2\trace_report.html,runs\product_hero_shot__prompt_only_manual__r2\runtime,prompt_only_proxy,completed,
product_hero_shot__prompt_only_manual__r3,product_hero_shot__prompt_only_manual,r3,2,product_hero_shot,Product hero shot,prompt_only_manual,Prompt-only manual iteration,ses_285817edca68,exp_21792bc6e5ed,1,0,cand_dfbe8c456362,runs\product_hero_shot__prompt_only_manual__r3\trace_report.html,runs\product_hero_shot__prompt_only_manual__r3\runtime,prompt_only_proxy,completed,
product_hero_shot__no_update_random_sampling__r1,product_hero_shot__no_update_random_sampling,r1,0,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_abc1c1d3b375,exp_ae403a9cdd12,1,0,,runs\product_hero_shot__no_update_random_sampling__r1\trace_report.html,runs\product_hero_shot__no_update_random_sampling__r1\runtime,no_update,completed,
product_hero_shot__no_update_random_sampling__r2,product_hero_shot__no_update_random_sampling,r2,1,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_ebfe9846426d,exp_ae1959da92e6,1,0,,runs\product_hero_shot__no_update_random_sampling__r2\trace_report.html,runs\product_hero_shot__no_update_random_sampling__r2\runtime,no_update,completed,
product_hero_shot__no_update_random_sampling__r3,product_hero_shot__no_update_random_sampling,r3,2,product_hero_shot,Product hero shot,no_update_random_sampling,No-update random sampling,ses_7aba0df8c0dc,exp_72fcf4c08639,1,0,,runs\product_hero_shot__no_update_random_sampling__r3\trace_report.html,runs\product_hero_shot__no_update_random_sampling__r3\runtime,no_update,completed,
product_hero_shot__stablesteering_default__r1,product_hero_shot__stablesteering_default,r1,0,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_1542e8b9b1f2,exp_28a5e4d37741,2,1,cand_a8eb828b3744,runs\product_hero_shot__stablesteering_default__r1\trace_report.html,runs\product_hero_shot__stablesteering_default__r1\runtime,steering_loop,completed,
product_hero_shot__stablesteering_default__r2,product_hero_shot__stablesteering_default,r2,1,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_35940cd07272,exp_b5a8860ddb77,2,1,cand_eaec6b45537c,runs\product_hero_shot__stablesteering_default__r2\trace_report.html,runs\product_hero_shot__stablesteering_default__r2\runtime,steering_loop,completed,
product_hero_shot__stablesteering_default__r3,product_hero_shot__stablesteering_default,r3,2,product_hero_shot,Product hero shot,stablesteering_default,StableSteering default steering loop,ses_1a82ec81fdbd,exp_54c6c804ff16,2,1,cand_8fb0bc4fcf4f,runs\product_hero_shot__stablesteering_default__r3\trace_report.html,runs\product_hero_shot__stablesteering_default__r3\runtime,steering_loop,completed,
portrait_character__prompt_only_manual__r1,portrait_character__prompt_only_manual,r1,0,portrait_character,Portrait / character,prompt_only_manual,Prompt-only manual iteration,ses_7f6203d0d01b,exp_f2d7d5d2bfb5,1,0,cand_c31f3c585dfb,runs\portrait_character__prompt_only_manual__r1\trace_report.html,runs\portrait_character__prompt_only_manual__r1\runtime,prompt_only_proxy,completed,
portrait_character__prompt_only_manual__r2,portrait_character__prompt_only_manual,r2,1,portrait_character,Portrait / character,prompt_only_manual,Prompt-only manual iteration,ses_388ad2c1b2eb,exp_bd2be4f94f5e,1,0,cand_91cbaa2488c3,runs\portrait_character__prompt_only_manual__r2\trace_report.html,runs\portrait_character__prompt_only_manual__r2\runtime,prompt_only_proxy,completed,
portrait_character__prompt_only_manual__r3,portrait_character__prompt_only_manual,r3,2,portrait_character,Portrait / character,prompt_only_manual,Prompt-only manual iteration,ses_0903a16eaf35,exp_b4e08458e587,1,0,cand_d6bdd1d9f12c,runs\portrait_character__prompt_only_manual__r3\trace_report.html,runs\portrait_character__prompt_only_manual__r3\runtime,prompt_only_proxy,completed,
portrait_character__no_update_random_sampling__r1,portrait_character__no_update_random_sampling,r1,0,portrait_character,Portrait / character,no_update_random_sampling,No-update random sampling,ses_8d2229688ed3,exp_ea332d5e5b7c,1,0,,runs\portrait_character__no_update_random_sampling__r1\trace_report.html,runs\portrait_character__no_update_random_sampling__r1\runtime,no_update,completed,
