method_id,method_label,round_index,mean_best_so_far_clip,mean_best_so_far_dinov2,mean_selected_clip,mean_selected_dinov2,mean_baseline_clip,mean_baseline_dinov2
no_update_resampling,No-update resampling,1,0.860765,0.522864,0.860765,0.522864,0.829235,0.46695
no_update_resampling,No-update resampling,2,0.866686,0.492439,0.861018,0.510766,0.829235,0.46695
no_update_resampling,No-update resampling,3,0.868256,0.477044,0.841888,0.41723,0.829235,0.46695
no_update_resampling,No-update resampling,4,0.875881,0.543002,0.867336,0.600571,0.829235,0.46695
no_update_resampling,No-update resampling,5,0.880734,0.555873,0.847816,0.434246,0.829235,0.46695
prompt_best_of_budget,Prompt-only best-of-budget,1,0.856165,0.528815,0.856165,0.528815,0.829235,0.46695
prompt_best_of_budget,Prompt-only best-of-budget,2,0.863897,0.496912,0.863897,0.496912,0.829235,0.46695
prompt_best_of_budget,Prompt-only best-of-budget,3,0.866672,0.520689,0.866672,0.520689,0.829235,0.46695
prompt_best_of_budget,Prompt-only best-of-budget,4,0.873036,0.601608,0.873036,0.601608,0.829235,0.46695
prompt_best_of_budget,Prompt-only best-of-budget,5,0.873036,0.601608,0.873036,0.601608,0.829235,0.46695
prompt_modifier_search,Heuristic prompt-rewrite search,1,0.862323,0.513523,0.862323,0.513523,0.829235,0.46695
prompt_modifier_search,Heuristic prompt-rewrite search,2,0.873042,0.490233,0.865958,0.491884,0.829235,0.46695
prompt_modifier_search,Heuristic prompt-rewrite search,3,0.875197,0.497764,0.860034,0.539698,0.829235,0.46695
prompt_modifier_search,Heuristic prompt-rewrite search,4,0.875197,0.497764,0.860926,0.451593,0.829235,0.46695
prompt_modifier_search,Heuristic prompt-rewrite search,5,0.875197,0.497764,0.852339,0.399645,0.829235,0.46695
stablesteering_best,StableSteering best current policy,1,0.860728,0.590142,0.860728,0.590142,0.829235,0.46695
stablesteering_best,StableSteering best current policy,2,0.867305,0.502862,0.867305,0.502862,0.829235,0.46695
stablesteering_best,StableSteering best current policy,3,0.872126,0.544811,0.872126,0.544811,0.829235,0.46695
stablesteering_best,StableSteering best current policy,4,0.873089,0.553324,0.873089,0.553324,0.829235,0.46695
stablesteering_best,StableSteering best current policy,5,0.873089,0.553324,0.873089,0.553324,0.829235,0.46695
