slice_id,policy_label,round_index,mean_best_clip,mean_baseline_clip,mean_best_dinov2,mean_baseline_dinov2
oracle_slice,CLIP + DINO ensemble,1,0.856245,0.811213,0.55954,0.430103
oracle_slice,CLIP + DINO ensemble,2,0.856974,0.811213,0.683981,0.430103
oracle_slice,CLIP + DINO ensemble,3,0.868048,0.811213,0.683981,0.430103
oracle_slice,CLIP + DINO ensemble,4,0.868048,0.811213,0.691212,0.430103
oracle_slice,CLIP + DINO ensemble,5,0.873768,0.811213,0.697305,0.430103
oracle_slice,CLIP + novelty bonus,1,0.858272,0.835661,0.638004,0.557787
oracle_slice,CLIP + novelty bonus,2,0.868999,0.835661,0.655099,0.557787
oracle_slice,CLIP + novelty bonus,3,0.868999,0.835661,0.660301,0.557787
oracle_slice,CLIP + novelty bonus,4,0.879616,0.835661,0.670438,0.557787
oracle_slice,CLIP + novelty bonus,5,0.882668,0.835661,0.670438,0.557787
oracle_slice,CLIP oracle,1,0.857995,0.808736,0.658747,0.471064
oracle_slice,CLIP oracle,2,0.864262,0.808736,0.658747,0.471064
oracle_slice,CLIP oracle,3,0.872036,0.808736,0.658747,0.471064
oracle_slice,CLIP oracle,4,0.876619,0.808736,0.658747,0.471064
oracle_slice,CLIP oracle,5,0.876619,0.808736,0.658747,0.471064
