slice_id,policy_label,round_index,mean_best_clip,mean_baseline_clip,mean_best_dinov2,mean_baseline_dinov2
sampler_slice,Annealed shell,1,0.862419,0.812264,0.623026,0.517545
sampler_slice,Annealed shell,2,0.877715,0.812264,0.627356,0.517545
sampler_slice,Annealed shell,3,0.877715,0.812264,0.627356,0.517545
sampler_slice,Annealed shell,4,0.877715,0.812264,0.627356,0.517545
sampler_slice,Annealed shell,5,0.877715,0.812264,0.627356,0.517545
sampler_slice,Diversity shell,1,0.855995,0.811712,0.474317,0.468441
sampler_slice,Diversity shell,2,0.868982,0.811712,0.525495,0.468441
sampler_slice,Diversity shell,3,0.873219,0.811712,0.552703,0.468441
sampler_slice,Diversity shell,4,0.873298,0.811712,0.557246,0.468441
sampler_slice,Diversity shell,5,0.876967,0.811712,0.595466,0.468441
sampler_slice,Line search,1,0.857566,0.825623,0.653686,0.564991
sampler_slice,Line search,2,0.870722,0.825623,0.660064,0.564991
sampler_slice,Line search,3,0.877544,0.825623,0.660064,0.564991
sampler_slice,Line search,4,0.877544,0.825623,0.660064,0.564991
sampler_slice,Line search,5,0.877544,0.825623,0.660064,0.564991
sampler_slice,Spherical cover,1,0.865543,0.84037,0.574028,0.558782
sampler_slice,Spherical cover,2,0.872808,0.84037,0.582923,0.558782
sampler_slice,Spherical cover,3,0.880896,0.84037,0.6676,0.558782
sampler_slice,Spherical cover,4,0.880896,0.84037,0.6676,0.558782
sampler_slice,Spherical cover,5,0.880896,0.84037,0.6676,0.558782
