policy_id,policy_label,target_id,target_label,repeat_index,session_id,round_id,round_index,winner_candidate_id,winner_sampler_role,candidate_count,selection_score,best_clip,baseline_clip,best_dinov2,baseline_dinov2
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d57688ba6f5f,1,cand_4f787b8a69a8,counter_probe,5,0.880828,0.880828,0.813842,0.52728,0.102197
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_5604d4910d5b,2,cand_87343066d4d0,incumbent,5,0.880828,0.880828,0.813842,0.41125,0.102197
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_f86e47d86e83,3,cand_0042b9eb43b2,incumbent,5,0.880828,0.880828,0.813842,0.363979,0.102197
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_3cdf8d73a551,4,cand_3a32d716250b,counter_probe,5,0.881225,0.881225,0.813842,0.526272,0.102197
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d7e03a8bcf44,5,cand_303d82891a01,incumbent,5,0.881225,0.881225,0.813842,0.526272,0.102197
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_737a26e95b12,6,cand_64427321755b,incumbent,5,0.881225,0.881225,0.813842,0.526272,0.102197
carry_forward_baseline,carry-forward baseline,mountain_lake,Mountain lake landscape,0,ses_2bc4abb945a5,rnd_36c63b5b6484,1,cand_cf2206a1d14c,forward_escape,5,0.806691,0.806691,0.797807,0.418845,0.418845
carry_forward_baseline,carry-forward baseline,mountain_lake,Mountain lake landscape,0,ses_2bc4abb945a5,rnd_ea46dbdbdd1f,2,cand_5b8953810648,forward_escape,5,0.818514,0.818514,0.797807,0.356123,0.418845
carry_forward_baseline,carry-forward baseline,mountain_lake,Mountain lake landscape,0,ses_2bc4abb945a5,rnd_2f6b434229e0,3,cand_27c455a0a0ac,lateral_plus,5,0.840966,0.840966,0.797807,0.403265,0.418845
carry_forward_baseline,carry-forward baseline,mountain_lake,Mountain lake landscape,0,ses_2bc4abb945a5,rnd_65faf2f31a50,4,cand_dd7a3ac44d69,incumbent,5,0.840966,0.840966,0.797807,0.403265,0.418845
carry_forward_baseline,carry-forward baseline,mountain_lake,Mountain lake landscape,0,ses_2bc4abb945a5,rnd_089747fd7f3d,5,cand_4281e8262ec4,incumbent,5,0.840966,0.840966,0.797807,0.444834,0.418845
carry_forward_baseline,carry-forward baseline,mountain_lake,Mountain lake landscape,0,ses_2bc4abb945a5,rnd_b1c68538532a,6,cand_70c81057a5d7,lateral_plus,5,0.847246,0.847246,0.797807,0.486485,0.418845
carry_forward_baseline,carry-forward baseline,red_bicycle,Red bicycle street photo,0,ses_2222e671ca0c,rnd_fcc987848f8d,1,cand_4559f31e5d50,lateral_minus,5,0.879603,0.879603,0.829899,0.729358,0.597085
carry_forward_baseline,carry-forward baseline,red_bicycle,Red bicycle street photo,0,ses_2222e671ca0c,rnd_605e02707bbb,2,cand_ce0910ee330d,lateral_plus,5,0.880099,0.880099,0.829899,0.746612,0.597085
carry_forward_baseline,carry-forward baseline,red_bicycle,Red bicycle street photo,0,ses_2222e671ca0c,rnd_645cbfedd15c,3,cand_82bd04f6503c,lateral_minus,5,0.920003,0.920003,0.829899,0.745642,0.597085
carry_forward_baseline,carry-forward baseline,red_bicycle,Red bicycle street photo,0,ses_2222e671ca0c,rnd_ae298eca4adc,4,cand_2b6d148d2543,incumbent,5,0.920003,0.920003,0.829899,0.745642,0.597085
carry_forward_baseline,carry-forward baseline,red_bicycle,Red bicycle street photo,0,ses_2222e671ca0c,rnd_a0fef6133016,5,cand_4633d8a99ef6,forward_escape,5,0.922043,0.922043,0.829899,0.745642,0.597085
carry_forward_baseline,carry-forward baseline,red_bicycle,Red bicycle street photo,0,ses_2222e671ca0c,rnd_22859542efae,6,cand_e00c23ad3e84,incumbent,5,0.922043,0.922043,0.829899,0.735689,0.597085
soft_penalty,soft incumbent penalty,cat_portrait_bw,Black-and-white cat portrait,0,ses_af0933b3010a,rnd_241e620e7710,1,cand_061e0915a882,lateral_plus,5,0.859532,0.859532,0.822396,0.641145,0.150703
soft_penalty,soft incumbent penalty,cat_portrait_bw,Black-and-white cat portrait,0,ses_af0933b3010a,rnd_5863c902ba5f,2,cand_71822d769010,incumbent,5,0.859532,0.859532,0.822396,0.641145,0.150703
soft_penalty,soft incumbent penalty,cat_portrait_bw,Black-and-white cat portrait,0,ses_af0933b3010a,rnd_3d23d3f24b19,3,cand_f5c25ffc84b6,lateral_minus,5,0.844682,0.856768,0.822396,0.523167,0.150703
soft_penalty,soft incumbent penalty,cat_portrait_bw,Black-and-white cat portrait,0,ses_af0933b3010a,rnd_1d510c114889,4,cand_2fc60456cefa,incumbent,5,0.856768,0.856768,0.822396,0.355645,0.150703
soft_penalty,soft incumbent penalty,cat_portrait_bw,Black-and-white cat portrait,0,ses_af0933b3010a,rnd_61bac9c2991c,5,cand_72affabaa50d,counter_probe,5,0.90124,0.90124,0.822396,0.430476,0.150703
soft_penalty,soft incumbent penalty,cat_portrait_bw,Black-and-white cat portrait,0,ses_af0933b3010a,rnd_636600b4b081,6,cand_12d25c330350,incumbent,5,0.90124,0.90124,0.822396,0.631723,0.150703
soft_penalty,soft incumbent penalty,mountain_lake,Mountain lake landscape,0,ses_d9a5069d008b,rnd_8f473cd11f51,1,cand_48d16801252a,lateral_minus,5,0.854727,0.854727,0.826068,0.559436,0.417842
soft_penalty,soft incumbent penalty,mountain_lake,Mountain lake landscape,0,ses_d9a5069d008b,rnd_046c55b3f302,2,cand_0da4a0527071,incumbent,5,0.854727,0.854727,0.826068,0.526697,0.417842
