policy_id,policy_label,round_index,mean_best_clip,mean_baseline_clip,mean_best_dinov2,mean_baseline_dinov2
baseline_clip,Baseline CLIP oracle,1,0.845196,0.84221,0.589203,0.445954
baseline_clip,Baseline CLIP oracle,2,0.851691,0.84221,0.574643,0.445954
baseline_clip,Baseline CLIP oracle,3,0.857152,0.84221,0.580569,0.445954
baseline_clip,Baseline CLIP oracle,4,0.857152,0.84221,0.564299,0.445954
baseline_clip,Baseline CLIP oracle,5,0.857152,0.84221,0.587514,0.445954
baseline_clip,Baseline CLIP oracle,6,0.862665,0.84221,0.553071,0.445954
bt_progress,Bradley-Terry progress-aware,1,0.843573,0.820812,0.567329,0.522952
bt_progress,Bradley-Terry progress-aware,2,0.852709,0.820812,0.615902,0.522952
bt_progress,Bradley-Terry progress-aware,3,0.85501,0.820812,0.597314,0.522952
bt_progress,Bradley-Terry progress-aware,4,0.853261,0.820812,0.597314,0.522952
bt_progress,Bradley-Terry progress-aware,5,0.853261,0.820812,0.60003,0.522952
bt_progress,Bradley-Terry progress-aware,6,0.853535,0.820812,0.610264,0.522952
qd_sampler,Quality-diversity sampler,1,0.828986,0.819483,0.555685,0.519456
qd_sampler,Quality-diversity sampler,2,0.852866,0.819483,0.605985,0.519456
qd_sampler,Quality-diversity sampler,3,0.85295,0.819483,0.627333,0.519456
qd_sampler,Quality-diversity sampler,4,0.862595,0.819483,0.642486,0.519456
qd_sampler,Quality-diversity sampler,5,0.863374,0.819483,0.61342,0.519456
qd_sampler,Quality-diversity sampler,6,0.863374,0.819483,0.611287,0.519456
pl_listwise,Plackett-Luce listwise,1,0.845127,0.830436,0.588671,0.382813
pl_listwise,Plackett-Luce listwise,2,0.845274,0.830436,0.603081,0.382813
pl_listwise,Plackett-Luce listwise,3,0.847986,0.830436,0.517285,0.382813
pl_listwise,Plackett-Luce listwise,4,0.849872,0.830436,0.515439,0.382813
pl_listwise,Plackett-Luce listwise,5,0.851009,0.830436,0.572391,0.382813
pl_listwise,Plackett-Luce listwise,6,0.851379,0.830436,0.565122,0.382813
pareto_listwise,Pareto listwise,1,0.84033,0.813406,0.574373,0.513056
pareto_listwise,Pareto listwise,2,0.844154,0.813406,0.571545,0.513056
pareto_listwise,Pareto listwise,3,0.855284,0.813406,0.558517,0.513056
pareto_listwise,Pareto listwise,4,0.853459,0.813406,0.566108,0.513056
pareto_listwise,Pareto listwise,5,0.861808,0.813406,0.584984,0.513056
pareto_listwise,Pareto listwise,6,0.861937,0.813406,0.655121,0.513056
