policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,winner_sampler_role,candidate_count,best_clip,baseline_clip,best_dinov2,baseline_dinov2,winner_oracle_score,winner_carried_forward
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_ce44847036ad,rnd_c04bc9c7031d,1,cand_0a956fbbcb4d,exploit,5,0.821068,0.81211,0.450811,0.43056,0.821068,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_ce44847036ad,rnd_ebd382723337,2,cand_343337d9328a,incumbent,5,0.821068,0.81211,0.526148,0.43056,0.821068,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_ce44847036ad,rnd_59f5c7dbe954,3,cand_dda573e48454,incumbent,5,0.821068,0.81211,0.450811,0.43056,0.821068,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_ce44847036ad,rnd_5b28f9e189cb,4,cand_038a26ad6d03,incumbent,5,0.821068,0.81211,0.47263,0.43056,0.821068,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_ce44847036ad,rnd_583e703930c5,5,cand_9f1fa2b10ae8,incumbent,5,0.821068,0.81211,0.450811,0.43056,0.821068,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_ce44847036ad,rnd_05fbee569091,6,cand_e14a6c5b1dbe,incumbent,5,0.821068,0.81211,0.450811,0.43056,0.821068,True
baseline_clip,Baseline CLIP oracle,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_e81f4a6528cf,rnd_fe484237ee44,1,cand_3200366d25f1,baseline_prompt,5,0.828648,0.828648,0.582289,0.243653,0.828648,False
baseline_clip,Baseline CLIP oracle,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_e81f4a6528cf,rnd_2c5e409fb16c,2,cand_4880296e0804,exploit,5,0.839757,0.828648,0.4744,0.243653,0.839757,False
baseline_clip,Baseline CLIP oracle,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_e81f4a6528cf,rnd_b3dc86763109,3,cand_20c28ad16097,incumbent,5,0.839757,0.828648,0.538208,0.243653,0.839757,True
baseline_clip,Baseline CLIP oracle,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_e81f4a6528cf,rnd_57b4b3d77829,4,cand_04d0b2e724a0,incumbent,5,0.839757,0.828648,0.484583,0.243653,0.839757,True
baseline_clip,Baseline CLIP oracle,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_e81f4a6528cf,rnd_10cc25db5878,5,cand_35d1634ffe84,incumbent,5,0.839757,0.828648,0.577731,0.243653,0.839757,True
baseline_clip,Baseline CLIP oracle,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_e81f4a6528cf,rnd_cb42589d340e,6,cand_3dad1afc58cc,exploit,5,0.856295,0.828648,0.4744,0.243653,0.856295,False
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle_street_photo,Red bicycle street photo,ses_3db95d6dc336,rnd_f809341c2337,1,cand_acf6a38a7fda,baseline_prompt,5,0.885873,0.885873,0.73451,0.663649,0.885873,False
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle_street_photo,Red bicycle street photo,ses_3db95d6dc336,rnd_a62181a99a85,2,cand_6c178c0c7fda,orthogonal,5,0.894249,0.885873,0.72338,0.663649,0.894249,False
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle_street_photo,Red bicycle street photo,ses_3db95d6dc336,rnd_208ecb1b24f4,3,cand_0d20e455e59d,exploit,5,0.910632,0.885873,0.752688,0.663649,0.910632,False
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle_street_photo,Red bicycle street photo,ses_3db95d6dc336,rnd_95c9f66c79f2,4,cand_79bbcce6b931,incumbent,5,0.910632,0.885873,0.735684,0.663649,0.910632,True
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle_street_photo,Red bicycle street photo,ses_3db95d6dc336,rnd_8e4d2a10c570,5,cand_f0488da60dbe,incumbent,5,0.910632,0.885873,0.734001,0.663649,0.910632,True
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle_street_photo,Red bicycle street photo,ses_3db95d6dc336,rnd_9073a07f03c1,6,cand_733de253ca75,incumbent,5,0.910632,0.885873,0.734001,0.663649,0.910632,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,mountain_lake_landscape,Mountain lake landscape,ses_d0b373fb54ff,rnd_ce1bd7f42e4a,1,cand_ecb414656346,baseline_prompt,5,0.81019,0.81019,0.409763,0.386148,0.81019,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,mountain_lake_landscape,Mountain lake landscape,ses_d0b373fb54ff,rnd_43f63d0a6721,2,cand_338223f091cb,far_cover_probe,5,0.81019,0.81019,0.438397,0.386148,0.830942,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,mountain_lake_landscape,Mountain lake landscape,ses_d0b373fb54ff,rnd_2a9a986bd175,3,cand_27fd2c8647db,near_cover_probe,5,0.817091,0.81019,0.495225,0.386148,0.976683,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,mountain_lake_landscape,Mountain lake landscape,ses_d0b373fb54ff,rnd_dcdc0dbcd510,4,cand_23b2a7153ce6,incumbent,5,0.817091,0.81019,0.495225,0.386148,0.875,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,mountain_lake_landscape,Mountain lake landscape,ses_d0b373fb54ff,rnd_f36e86a89212,5,cand_a296b04a1716,incumbent,5,0.817091,0.81019,0.495225,0.386148,0.817091,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,mountain_lake_landscape,Mountain lake landscape,ses_d0b373fb54ff,rnd_f888447a3fe1,6,cand_f88e2a9438a4,incumbent,5,0.817091,0.81019,0.495225,0.386148,0.817091,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,black_white_cat_portrait,Black-and-white cat portrait,ses_b8f14c3806aa,rnd_8b2eee34655e,1,cand_709c7c5b9750,near_cover_probe,5,0.833155,0.788137,0.657705,0.559802,0.833155,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,black_white_cat_portrait,Black-and-white cat portrait,ses_b8f14c3806aa,rnd_eae64c480e70,2,cand_d7734217f954,near_cover_probe,5,0.847713,0.788137,0.657705,0.559802,0.784398,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,black_white_cat_portrait,Black-and-white cat portrait,ses_b8f14c3806aa,rnd_72350002a83e,3,cand_fa6640718899,near_cover_probe,5,0.847713,0.788137,0.598811,0.559802,0.892223,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,black_white_cat_portrait,Black-and-white cat portrait,ses_b8f14c3806aa,rnd_008f2571e3d8,4,cand_f969c173a0d0,incumbent,5,0.842468,0.788137,0.598811,0.559802,0.842468,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,black_white_cat_portrait,Black-and-white cat portrait,ses_b8f14c3806aa,rnd_5590cf842dc4,5,cand_c1a6b4970f2e,incumbent,5,0.842468,0.788137,0.598811,0.559802,0.842468,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,black_white_cat_portrait,Black-and-white cat portrait,ses_b8f14c3806aa,rnd_722ee6a8abc0,6,cand_d08cb99df5da,far_cover_probe,5,0.843289,0.788137,0.598811,0.559802,0.926607,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle_street_photo,Red bicycle street photo,ses_20c4ba3e0f2e,rnd_7afa7f5ce760,1,cand_3e620ff02909,near_cover_probe,5,0.887373,0.86411,0.634519,0.622905,0.887373,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle_street_photo,Red bicycle street photo,ses_20c4ba3e0f2e,rnd_7f47eca42559,2,cand_936d51b3a139,near_cover_probe,5,0.900225,0.86411,0.751603,0.622905,0.910355,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle_street_photo,Red bicycle street photo,ses_20c4ba3e0f2e,rnd_5261a30e089d,3,cand_8827740b0cf7,incumbent,5,0.900225,0.86411,0.697906,0.622905,0.900225,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle_street_photo,Red bicycle street photo,ses_20c4ba3e0f2e,rnd_d8db925edd62,4,cand_d0be67f737e2,incumbent,5,0.900225,0.86411,0.697906,0.622905,0.875,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle_street_photo,Red bicycle street photo,ses_20c4ba3e0f2e,rnd_2a11e20e74c7,5,cand_8edc018b82b2,incumbent,5,0.900225,0.86411,0.706055,0.622905,0.900225,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle_street_photo,Red bicycle street photo,ses_20c4ba3e0f2e,rnd_901fb76bd5f1,6,cand_1be15fc65861,incumbent,5,0.900225,0.86411,0.736755,0.622905,0.775876,True
qd_sampler,Quality-diversity sampler,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_c88631277b96,rnd_97604a39cd7d,1,cand_d79c8759bcb1,qd_refine,5,0.798319,0.782076,0.423424,0.402713,0.798319,False
qd_sampler,Quality-diversity sampler,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_c88631277b96,rnd_2b033364f6b0,2,cand_5e8af33510a9,qd_far_cover_1,5,0.815715,0.782076,0.43352,0.402713,0.815715,False
qd_sampler,Quality-diversity sampler,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_c88631277b96,rnd_5d8e6a561638,3,cand_17385fe3e9cd,qd_far_cover_1,5,0.815968,0.782076,0.497564,0.402713,0.815968,False
qd_sampler,Quality-diversity sampler,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_c88631277b96,rnd_a3e3705ddc8c,4,cand_58c1dc14e5e5,qd_lateral_plus,5,0.830464,0.782076,0.543023,0.402713,0.830464,False
qd_sampler,Quality-diversity sampler,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_c88631277b96,rnd_cba209c22f44,5,cand_1ac5022e45f1,qd_refine,5,0.832799,0.782076,0.515435,0.402713,0.832799,False
qd_sampler,Quality-diversity sampler,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_c88631277b96,rnd_41b96437aaa6,6,cand_6a266492d8d9,incumbent,5,0.832799,0.782076,0.538553,0.402713,0.832799,True
qd_sampler,Quality-diversity sampler,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_3f053ce6c2f9,rnd_e8fd9944c4fa,1,cand_023b3af62027,baseline_prompt,5,0.833261,0.833261,0.586247,0.504805,0.833261,False
qd_sampler,Quality-diversity sampler,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_3f053ce6c2f9,rnd_9917185c1d75,2,cand_fe50044b2ca3,qd_lateral_plus,5,0.855757,0.833261,0.666911,0.504805,0.855757,False
qd_sampler,Quality-diversity sampler,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_3f053ce6c2f9,rnd_4938d26392cd,3,cand_726f0c2eaa82,incumbent,5,0.855757,0.833261,0.666911,0.504805,0.855757,True
qd_sampler,Quality-diversity sampler,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_3f053ce6c2f9,rnd_cd19085fb797,4,cand_cfe65bc164db,qd_far_cover_1,5,0.870196,0.833261,0.666911,0.504805,0.870196,False
