policy_id,policy_label,oracle_policy,target_id,target_label,session_id,trace_report,baseline_clip,final_clip,delta_clip,baseline_dinov2,final_dinov2,delta_dinov2,late_improvement_rounds,incumbent_rounds,incumbent_selected_rounds,incumbent_selection_share,mean_incumbent_margin_clip,unique_selected_ratio,last_three_plateau
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_ce44847036ad,paper\results\oracle_inspired_methods\runs\baseline_clip\mountain_lake_landscape\trace_report.html,0.81211,0.821068,0.008958,0.43056,0.450811,0.020251,0,5,5,1.0,0.017478,0.166667,True
baseline_clip,Baseline CLIP oracle,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_e81f4a6528cf,paper\results\oracle_inspired_methods\runs\baseline_clip\black_white_cat_portrait\trace_report.html,0.828648,0.856295,0.027647,0.243653,0.4744,0.230747,1,5,3,0.6,0.001372,0.5,False
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle_street_photo,Red bicycle street photo,ses_3db95d6dc336,paper\results\oracle_inspired_methods\runs\baseline_clip\red_bicycle_street_photo\trace_report.html,0.885873,0.910632,0.024759,0.663649,0.734001,0.070352,0,5,3,0.6,3e-05,0.5,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,mountain_lake_landscape,Mountain lake landscape,ses_d0b373fb54ff,paper\results\oracle_inspired_methods\runs\bt_progress\mountain_lake_landscape\trace_report.html,0.81019,0.817091,0.006901,0.386148,0.495225,0.109077,0,5,3,0.6,0.009293,0.5,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,black_white_cat_portrait,Black-and-white cat portrait,ses_b8f14c3806aa,paper\results\oracle_inspired_methods\runs\bt_progress\black_white_cat_portrait\trace_report.html,0.788137,0.843289,0.055152,0.559802,0.598811,0.039009,0,5,2,0.4,0.00551,0.666667,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle_street_photo,Red bicycle street photo,ses_20c4ba3e0f2e,paper\results\oracle_inspired_methods\runs\bt_progress\red_bicycle_street_photo\trace_report.html,0.86411,0.900225,0.036115,0.622905,0.736755,0.11385,0,5,4,0.8,0.00767,0.333333,True
qd_sampler,Quality-diversity sampler,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_c88631277b96,paper\results\oracle_inspired_methods\runs\qd_sampler\mountain_lake_landscape\trace_report.html,0.782076,0.832799,0.050723,0.402713,0.538553,0.13584,2,5,1,0.2,-0.005024,0.833333,False
qd_sampler,Quality-diversity sampler,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_3f053ce6c2f9,paper\results\oracle_inspired_methods\runs\qd_sampler\black_white_cat_portrait\trace_report.html,0.833261,0.870196,0.036935,0.504805,0.577786,0.072981,1,5,3,0.6,0.010672,0.5,True
qd_sampler,Quality-diversity sampler,clip_only,red_bicycle_street_photo,Red bicycle street photo,ses_1e3c5138b3b2,paper\results\oracle_inspired_methods\runs\qd_sampler\red_bicycle_street_photo\trace_report.html,0.843111,0.887126,0.044015,0.65085,0.717523,0.066673,0,5,4,0.8,0.00177,0.333333,True
pl_listwise,Plackett-Luce listwise,clip_only,mountain_lake_landscape,Mountain lake landscape,ses_c0d09509a08b,paper\results\oracle_inspired_methods\runs\pl_listwise\mountain_lake_landscape\trace_report.html,0.792302,0.806508,0.014206,0.270157,0.410614,0.140457,1,5,4,0.8,0.005955,0.333333,False
pl_listwise,Plackett-Luce listwise,clip_only,black_white_cat_portrait,Black-and-white cat portrait,ses_063a2f0d6f31,paper\results\oracle_inspired_methods\runs\pl_listwise\black_white_cat_portrait\trace_report.html,0.807452,0.84696,0.039508,0.131698,0.577241,0.445543,2,5,2,0.4,0.001092,0.666667,False
pl_listwise,Plackett-Luce listwise,clip_only,red_bicycle_street_photo,Red bicycle street photo,ses_b8f28dc843ff,paper\results\oracle_inspired_methods\runs\pl_listwise\red_bicycle_street_photo\trace_report.html,0.891555,0.900668,0.009113,0.746584,0.707511,-0.039073,0,5,4,0.8,0.004941,0.333333,True
pareto_listwise,Pareto listwise,pareto_frontier_mix,mountain_lake_landscape,Mountain lake landscape,ses_531a33377c33,paper\results\oracle_inspired_methods\runs\pareto_listwise\mountain_lake_landscape\trace_report.html,0.782604,0.830258,0.047654,0.289905,0.562773,0.272868,1,5,1,0.2,0.001074,0.833333,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,black_white_cat_portrait,Black-and-white cat portrait,ses_89dd52f9d8dd,paper\results\oracle_inspired_methods\runs\pareto_listwise\black_white_cat_portrait\trace_report.html,0.801054,0.846008,0.044954,0.605946,0.669559,0.063613,0,5,1,0.2,0.002342,0.833333,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,red_bicycle_street_photo,Red bicycle street photo,ses_62e27ec3255b,paper\results\oracle_inspired_methods\runs\pareto_listwise\red_bicycle_street_photo\trace_report.html,0.856561,0.909544,0.052983,0.643316,0.73303,0.089714,1,5,1,0.2,-0.00078,0.833333,False
