round_index,mean_best_clip,std_best_clip,mean_baseline_clip,mean_best_dinov2,std_best_dinov2,mean_baseline_dinov2
1,0.86637,0.037893,0.827656,0.578046,0.113385,0.452384
2,0.875155,0.031026,0.827656,0.559517,0.15959,0.452384
3,0.875155,0.031026,0.827656,0.526712,0.196642,0.452384
4,0.87642,0.032677,0.827656,0.601671,0.123973,0.452384
5,0.879008,0.032891,0.827656,0.561704,0.150089,0.452384
6,0.879008,0.032891,0.827656,0.555474,0.157203,0.452384
7,0.88003,0.032218,0.827656,0.562576,0.167612,0.452384
8,0.88003,0.032218,0.827656,0.620232,0.098081,0.452384
9,0.88003,0.032218,0.827656,0.567728,0.156957,0.452384
10,0.881093,0.032885,0.827656,0.594806,0.103688,0.452384
