round_index,mean_best_clip,std_best_clip,mean_baseline_clip,mean_best_dinov2,std_best_dinov2,mean_baseline_dinov2
1,0.861397,0.029888,0.835082,0.595145,0.113753,0.434251
2,0.869735,0.029517,0.835082,0.595955,0.10307,0.434251
3,0.871399,0.030304,0.835082,0.608014,0.113833,0.434251
4,0.877263,0.031052,0.835082,0.596041,0.12285,0.434251
5,0.87775,0.030328,0.835082,0.550149,0.160894,0.434251
6,0.878745,0.030809,0.835082,0.602554,0.111503,0.434251
7,0.882874,0.031836,0.835082,0.573341,0.158218,0.434251
8,0.885967,0.032651,0.835082,0.583889,0.153488,0.434251
9,0.885967,0.032651,0.835082,0.593654,0.116226,0.434251
10,0.886108,0.032425,0.835082,0.554382,0.152128,0.434251
