round_index,mean_best_clip,std_best_clip,mean_baseline_clip,mean_best_dinov2,std_best_dinov2,mean_baseline_dinov2
1,0.867902,0.025511,0.838959,0.585489,0.126583,0.492502
2,0.870748,0.025852,0.838959,0.574856,0.13367,0.492502
3,0.875474,0.026402,0.838959,0.57992,0.122562,0.492502
4,0.877089,0.02423,0.838959,0.530931,0.139,0.492502
5,0.877089,0.02423,0.838959,0.55245,0.134559,0.492502
6,0.875653,0.024227,0.838959,0.556329,0.12129,0.492502
7,0.873603,0.027209,0.838959,0.544304,0.152945,0.492502
8,0.87222,0.025489,0.838959,0.576353,0.114298,0.492502
9,0.876412,0.023286,0.838959,0.574316,0.137661,0.492502
10,0.87764,0.02512,0.838959,0.589811,0.110264,0.492502
