round_index,mean_best_clip,std_best_clip,mean_baseline_clip,mean_best_dinov2,std_best_dinov2,mean_baseline_dinov2
1,0.864398,0.023726,0.841147,0.542238,0.171688,0.507024
2,0.869357,0.019077,0.841147,0.610253,0.087602,0.507024
3,0.875502,0.026922,0.841147,0.530827,0.177582,0.507024
4,0.876309,0.030588,0.841147,0.567122,0.128702,0.507024
5,0.87642,0.029974,0.841147,0.609065,0.086664,0.507024
6,0.871683,0.026061,0.841147,0.610205,0.088713,0.507024
7,0.866158,0.028216,0.841147,0.548614,0.151508,0.507024
8,0.866806,0.029699,0.841147,0.569945,0.1069,0.507024
9,0.862664,0.034402,0.841147,0.563904,0.129777,0.507024
10,0.868852,0.037473,0.841147,0.597907,0.132127,0.507024
