policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,winner_sampler_role,candidate_count,best_clip,baseline_clip,best_dinov2,baseline_dinov2,winner_oracle_score,winner_carried_forward
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_356abe75dba4,1,cand_02a797d6e1fd,mirror,5,0.848768,0.790732,0.482277,0.328366,0.848768,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_ae50a9e9260e,2,cand_cb3e42986487,incumbent,5,0.848768,0.790732,0.482277,0.328366,0.848768,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_64d9c27a4fbc,3,cand_70aa2e8d259a,incumbent,5,0.848768,0.790732,0.482277,0.328366,0.848768,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_4178133192c4,4,cand_ba7c787931be,incumbent,5,0.848768,0.790732,0.482277,0.328366,0.848768,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_bd7ed7e0e6a8,5,cand_80fdbe7cb4d4,incumbent,5,0.848768,0.790732,0.482277,0.328366,0.848768,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_2ffefe2f54c2,6,cand_1c4e4260fb75,incumbent,5,0.848768,0.790732,0.482277,0.328366,0.848768,True
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_3947875bc22e,rnd_de52b4a84085,1,cand_4d421060b6ee,orthogonal,5,0.876379,0.849275,0.644039,0.215038,0.876379,False
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_3947875bc22e,rnd_3946f416ebf2,2,cand_4f09ea67af8a,incumbent,5,0.876379,0.849275,0.438891,0.215038,0.876379,True
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_3947875bc22e,rnd_c52f6792e1c1,3,cand_0371e88c9d6b,incumbent,5,0.876379,0.849275,0.512965,0.215038,0.876379,True
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_3947875bc22e,rnd_5cf22a71cfd1,4,cand_8ac8cf1a918d,incumbent,5,0.876379,0.849275,0.339546,0.215038,0.876379,True
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_3947875bc22e,rnd_d0ca8c26eb86,5,cand_1c35bec31b18,mirror,5,0.889732,0.849275,0.271998,0.215038,0.889732,False
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_3947875bc22e,rnd_28ff181dae30,6,cand_58fefcd0b4fc,mirror,5,0.900653,0.849275,0.266248,0.215038,0.900653,False
