policy_id,policy_label,oracle_policy,target_id,target_label,session_id,trace_report,baseline_clip,final_clip,delta_clip,baseline_dinov2,final_dinov2,delta_dinov2,late_improvement_rounds,incumbent_rounds,incumbent_selected_rounds,incumbent_selection_share,mean_incumbent_margin_clip,unique_selected_ratio,last_three_plateau
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\trace_report.html,0.790732,0.848768,0.058036,0.328366,0.482277,0.153911,0,5,5,1.0,0.021723,0.166667,True
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_3947875bc22e,paper\results\oracle_plateau_reformulation\runs\baseline_clip\cat_portrait_bw\trace_report.html,0.849275,0.900653,0.051378,0.215038,0.266248,0.05121,2,5,3,0.6,0.008284,0.5,False
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle,Red bicycle street photo,ses_553f359ccf94,paper\results\oracle_plateau_reformulation\runs\baseline_clip\red_bicycle\trace_report.html,0.870363,0.923128,0.052765,0.71415,0.752684,0.038534,1,5,3,0.6,0.001735,0.5,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,mountain_lake,Mountain lake landscape,ses_3a5ae3c429b5,paper\results\oracle_plateau_reformulation\runs\bt_progress\mountain_lake\trace_report.html,0.8321,0.856639,0.024539,0.468231,0.495115,0.026884,1,5,3,0.6,0.013167,0.5,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d31bd7332dfc,paper\results\oracle_plateau_reformulation\runs\bt_progress\cat_portrait_bw\trace_report.html,0.842078,0.888754,0.046676,0.05641,0.334465,0.278055,0,5,4,0.8,0.029575,0.333333,True
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_a06856916c4d,paper\results\oracle_plateau_reformulation\runs\bt_progress\red_bicycle\trace_report.html,0.893702,0.881506,-0.012196,0.69736,0.736158,0.038798,0,5,3,0.6,0.012242,0.5,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,mountain_lake,Mountain lake landscape,ses_67853940c86a,paper\results\oracle_plateau_reformulation\runs\pareto_listwise\mountain_lake\trace_report.html,0.787291,0.84695,0.059659,0.425545,0.511185,0.08564,1,5,1,0.2,-0.002703,0.833333,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,cat_portrait_bw,Black-and-white cat portrait,ses_d65e77c5669c,paper\results\oracle_plateau_reformulation\runs\pareto_listwise\cat_portrait_bw\trace_report.html,0.848353,0.873533,0.02518,0.335582,0.424125,0.088543,0,5,0,0.0,-0.017402,1.0,False
pareto_listwise,Pareto listwise,pareto_frontier_mix,red_bicycle,Red bicycle street photo,ses_6a1b17742bdf,paper\results\oracle_plateau_reformulation\runs\pareto_listwise\red_bicycle\trace_report.html,0.879657,0.881333,0.001676,0.652265,0.728789,0.076524,0,5,3,0.6,0.024045,0.5,False
restart_directional,Restart directional mix,clip_directional_mix,mountain_lake,Mountain lake landscape,ses_7c6104cb85e4,paper\results\oracle_plateau_reformulation\runs\restart_directional\mountain_lake\trace_report.html,0.817569,0.836607,0.019038,0.375905,0.528177,0.152272,1,5,0,0.0,-0.009755,1.0,False
restart_directional,Restart directional mix,clip_directional_mix,cat_portrait_bw,Black-and-white cat portrait,ses_c5a5be4d6997,paper\results\oracle_plateau_reformulation\runs\restart_directional\cat_portrait_bw\trace_report.html,0.815057,0.860798,0.045741,0.052078,0.489219,0.437141,1,5,0,0.0,0.004909,1.0,False
restart_directional,Restart directional mix,clip_directional_mix,red_bicycle,Red bicycle street photo,ses_869262b221bc,paper\results\oracle_plateau_reformulation\runs\restart_directional\red_bicycle\trace_report.html,0.862929,0.88751,0.024581,0.644313,0.729534,0.085221,1,5,0,0.0,-0.000516,1.0,False
restart_advantage,Restart advantage mix,clip_advantage_novelty_mix,mountain_lake,Mountain lake landscape,ses_b92e0c3124f9,paper\results\oracle_plateau_reformulation\runs\restart_advantage\mountain_lake\trace_report.html,0.79014,0.847609,0.057469,0.234493,0.374322,0.139829,2,5,2,0.4,0.004116,0.666667,False
restart_advantage,Restart advantage mix,clip_advantage_novelty_mix,cat_portrait_bw,Black-and-white cat portrait,ses_415d2d131b92,paper\results\oracle_plateau_reformulation\runs\restart_advantage\cat_portrait_bw\trace_report.html,0.835163,0.904049,0.068886,0.15812,0.246429,0.088309,0,5,4,0.8,0.017185,0.333333,True
restart_advantage,Restart advantage mix,clip_advantage_novelty_mix,red_bicycle,Red bicycle street photo,ses_1e6a2ca6cbb0,paper\results\oracle_plateau_reformulation\runs\restart_advantage\red_bicycle\trace_report.html,0.851464,0.931094,0.07963,0.561686,0.697213,0.135527,1,5,4,0.8,0.013895,0.333333,False
