policy_id,policy_label,round_index,mean_best_clip,mean_baseline_clip,mean_best_dinov2,mean_baseline_dinov2
baseline_clip,Baseline CLIP oracle,1,0.847013,0.830022,0.489505,0.396985
baseline_clip,Baseline CLIP oracle,2,0.883839,0.830022,0.487791,0.396985
baseline_clip,Baseline CLIP oracle,3,0.883839,0.830022,0.555365,0.396985
baseline_clip,Baseline CLIP oracle,4,0.883839,0.830022,0.468513,0.396985
baseline_clip,Baseline CLIP oracle,5,0.883839,0.830022,0.576952,0.396985
baseline_clip,Baseline CLIP oracle,6,0.883839,0.830022,0.557385,0.396985
sampler_upgrade,Two-scale cover sampler,1,0.887025,0.808888,0.585711,0.343352
sampler_upgrade,Two-scale cover sampler,2,0.887025,0.808888,0.585711,0.343352
sampler_upgrade,Two-scale cover sampler,3,0.887025,0.808888,0.585711,0.343352
sampler_upgrade,Two-scale cover sampler,4,0.888524,0.808888,0.585711,0.343352
sampler_upgrade,Two-scale cover sampler,5,0.888524,0.808888,0.655194,0.343352
sampler_upgrade,Two-scale cover sampler,6,0.888524,0.808888,0.605612,0.343352
preference_upgrade,Challenger-mixture updater,1,0.859271,0.817973,0.388196,0.343792
preference_upgrade,Challenger-mixture updater,2,0.861029,0.817973,0.571127,0.343792
preference_upgrade,Challenger-mixture updater,3,0.870533,0.817973,0.542249,0.343792
preference_upgrade,Challenger-mixture updater,4,0.872631,0.817973,0.528471,0.343792
preference_upgrade,Challenger-mixture updater,5,0.872631,0.817973,0.504078,0.343792
preference_upgrade,Challenger-mixture updater,6,0.872631,0.817973,0.535162,0.343792
full_progress,Full progress-aware policy,1,0.866151,0.824407,0.560015,0.526972
full_progress,Full progress-aware policy,2,0.873885,0.824407,0.521385,0.526972
full_progress,Full progress-aware policy,3,0.877918,0.824407,0.53785,0.526972
full_progress,Full progress-aware policy,4,0.873517,0.824407,0.499189,0.526972
full_progress,Full progress-aware policy,5,0.87872,0.824407,0.543521,0.526972
full_progress,Full progress-aware policy,6,0.882205,0.824407,0.495723,0.526972
