policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,winner_candidate_id,winner_sampler_role,candidate_count,best_clip,baseline_clip,best_dinov2,baseline_dinov2,winner_oracle_score,winner_carried_forward
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_090bdb1a91cf,rnd_1bd4915d58d8,1,cand_8f3b8393b2e6,refine,5,0.822387,0.789363,0.45488,0.45488,0.822387,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_090bdb1a91cf,rnd_962fa0a3f707,2,cand_a16236be7eda,refine,5,0.853735,0.789363,0.479109,0.45488,0.853735,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_090bdb1a91cf,rnd_351ab8793129,3,cand_97adfc4e53f2,incumbent,5,0.853735,0.789363,0.479109,0.45488,0.853735,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_090bdb1a91cf,rnd_7c1d68703141,4,cand_6db230f4a42d,incumbent,5,0.853735,0.789363,0.479109,0.45488,0.853735,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_090bdb1a91cf,rnd_6446ee948d89,5,cand_01b789f097ab,incumbent,5,0.853735,0.789363,0.479109,0.45488,0.853735,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_090bdb1a91cf,rnd_63d4aae64700,6,cand_01dbb5ba0b9d,incumbent,5,0.853735,0.789363,0.479109,0.45488,0.853735,True
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_6c905b09835f,rnd_c3686f7b2093,1,cand_6e08871d69ef,mirror,5,0.861115,0.843165,0.281202,0.033159,0.861115,False
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_6c905b09835f,rnd_2368aa5b5aa0,2,cand_5d06f9f17d20,refine,5,0.890826,0.843165,0.281202,0.033159,0.890826,False
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_6c905b09835f,rnd_2bf11c6d3595,3,cand_0e05b8d53312,incumbent,5,0.890826,0.843165,0.493472,0.033159,0.890826,True
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_6c905b09835f,rnd_95084fe370a4,4,cand_4156072194db,incumbent,5,0.890826,0.843165,0.238584,0.033159,0.890826,True
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_6c905b09835f,rnd_ee493acb4da6,5,cand_8eeedcb42fe1,incumbent,5,0.890826,0.843165,0.563901,0.033159,0.890826,True
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_6c905b09835f,rnd_e070729b665a,6,cand_01e9934c72b1,incumbent,5,0.890826,0.843165,0.476109,0.033159,0.890826,True
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle,Red bicycle street photo,ses_60ba27e6bbad,rnd_8deb0d057aa0,1,cand_83a7ac85307f,baseline_prompt,5,0.857537,0.857537,0.732434,0.702916,0.857537,False
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle,Red bicycle street photo,ses_60ba27e6bbad,rnd_8c4310c01765,2,cand_ac5e293745cb,refine,5,0.906957,0.857537,0.703061,0.702916,0.906957,False
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle,Red bicycle street photo,ses_60ba27e6bbad,rnd_0c17115a86bf,3,cand_35b1a196bbff,incumbent,5,0.906957,0.857537,0.693513,0.702916,0.906957,True
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle,Red bicycle street photo,ses_60ba27e6bbad,rnd_58140718fb8f,4,cand_18fdc9380180,incumbent,5,0.906957,0.857537,0.687846,0.702916,0.906957,True
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle,Red bicycle street photo,ses_60ba27e6bbad,rnd_ed7e7c9a0090,5,cand_654e87a26d8c,incumbent,5,0.906957,0.857537,0.687846,0.702916,0.906957,True
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle,Red bicycle street photo,ses_60ba27e6bbad,rnd_7f54098fc2b4,6,cand_09b24f72b0c0,incumbent,5,0.906957,0.857537,0.716936,0.702916,0.906957,True
sampler_upgrade,Two-scale cover sampler,clip_only,mountain_lake,Mountain lake landscape,ses_ff146b5e2f7a,rnd_5b1f7100b753,1,cand_3c22edd9662c,far_cover_probe,5,0.857308,0.802174,0.590629,0.4325,0.857308,False
sampler_upgrade,Two-scale cover sampler,clip_only,mountain_lake,Mountain lake landscape,ses_ff146b5e2f7a,rnd_c7661a837548,2,cand_65e9d00a95aa,incumbent,5,0.857308,0.802174,0.590629,0.4325,0.857308,True
sampler_upgrade,Two-scale cover sampler,clip_only,mountain_lake,Mountain lake landscape,ses_ff146b5e2f7a,rnd_ab5226483905,3,cand_9019ea0f991e,incumbent,5,0.857308,0.802174,0.590629,0.4325,0.857308,True
sampler_upgrade,Two-scale cover sampler,clip_only,mountain_lake,Mountain lake landscape,ses_ff146b5e2f7a,rnd_5e5967f67a22,4,cand_9e84da18f926,incumbent,5,0.857308,0.802174,0.590629,0.4325,0.857308,True
sampler_upgrade,Two-scale cover sampler,clip_only,mountain_lake,Mountain lake landscape,ses_ff146b5e2f7a,rnd_1c4500503f17,5,cand_c4c572fb2880,incumbent,5,0.857308,0.802174,0.590629,0.4325,0.857308,True
sampler_upgrade,Two-scale cover sampler,clip_only,mountain_lake,Mountain lake landscape,ses_ff146b5e2f7a,rnd_64a869680129,6,cand_39710da394b3,incumbent,5,0.857308,0.802174,0.590629,0.4325,0.857308,True
sampler_upgrade,Two-scale cover sampler,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_a7b92e57341b,rnd_b57449f15369,1,cand_047e8b8d37f0,far_cover_probe,5,0.889523,0.796556,0.446348,0.028508,0.889523,False
sampler_upgrade,Two-scale cover sampler,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_a7b92e57341b,rnd_673371c844b7,2,cand_ccf197d41654,incumbent,5,0.889523,0.796556,0.446348,0.028508,0.889523,True
