policy_id,policy_label,oracle_policy,target_id,target_label,session_id,trace_report,baseline_clip,final_clip,delta_clip,baseline_dinov2,final_dinov2,delta_dinov2,late_improvement_rounds,incumbent_rounds,incumbent_selected_rounds,incumbent_selection_share,mean_incumbent_margin_clip,unique_selected_ratio,last_three_plateau
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_090bdb1a91cf,paper\results\oracle_progress_diagnosis\runs\baseline_clip\mountain_lake\trace_report.html,0.789363,0.853735,0.064372,0.45488,0.479109,0.024229,0,5,4,0.8,0.013961,0.333333,True
baseline_clip,Baseline CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_6c905b09835f,paper\results\oracle_progress_diagnosis\runs\baseline_clip\cat_portrait_bw\trace_report.html,0.843165,0.890826,0.047661,0.033159,0.476109,0.44295,0,5,4,0.8,0.009103,0.333333,True
baseline_clip,Baseline CLIP oracle,clip_only,red_bicycle,Red bicycle street photo,ses_60ba27e6bbad,paper\results\oracle_progress_diagnosis\runs\baseline_clip\red_bicycle\trace_report.html,0.857537,0.906957,0.04942,0.702916,0.716936,0.01402,0,5,4,0.8,0.015151,0.333333,True
sampler_upgrade,Two-scale cover sampler,clip_only,mountain_lake,Mountain lake landscape,ses_ff146b5e2f7a,paper\results\oracle_progress_diagnosis\runs\sampler_upgrade\mountain_lake\trace_report.html,0.802174,0.857308,0.055134,0.4325,0.590629,0.158129,0,5,5,1.0,0.04418,0.166667,True
sampler_upgrade,Two-scale cover sampler,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_a7b92e57341b,paper\results\oracle_progress_diagnosis\runs\sampler_upgrade\cat_portrait_bw\trace_report.html,0.796556,0.894022,0.097466,0.028508,0.50117,0.472662,1,5,4,0.8,0.027368,0.333333,True
sampler_upgrade,Two-scale cover sampler,clip_only,red_bicycle,Red bicycle street photo,ses_43d57ee935b0,paper\results\oracle_progress_diagnosis\runs\sampler_upgrade\red_bicycle\trace_report.html,0.827935,0.914243,0.086308,0.569049,0.725037,0.155988,0,5,5,1.0,0.028989,0.166667,True
preference_upgrade,Challenger-mixture updater,clip_only,mountain_lake,Mountain lake landscape,ses_bf209025d985,paper\results\oracle_progress_diagnosis\runs\preference_upgrade\mountain_lake\trace_report.html,0.72766,0.840084,0.112424,0.234757,0.510749,0.275992,0,5,3,0.6,0.005671,0.5,True
preference_upgrade,Challenger-mixture updater,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_77ebfe1d4b57,paper\results\oracle_progress_diagnosis\runs\preference_upgrade\cat_portrait_bw\trace_report.html,0.830629,0.878235,0.047606,0.072912,0.325316,0.252404,1,5,3,0.6,0.01254,0.5,True
preference_upgrade,Challenger-mixture updater,clip_only,red_bicycle,Red bicycle street photo,ses_efbef123d288,paper\results\oracle_progress_diagnosis\runs\preference_upgrade\red_bicycle\trace_report.html,0.89563,0.899574,0.003944,0.723706,0.769421,0.045715,0,5,5,1.0,0.030169,0.166667,True
full_progress,Full progress-aware policy,clip_margin_mix,mountain_lake,Mountain lake landscape,ses_c97b0b9d2383,paper\results\oracle_progress_diagnosis\runs\full_progress\mountain_lake\trace_report.html,0.81519,0.842378,0.027188,0.381557,0.416091,0.034534,0,5,3,0.6,0.008741,0.5,False
full_progress,Full progress-aware policy,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_4965af5696c2,paper\results\oracle_progress_diagnosis\runs\full_progress\cat_portrait_bw\trace_report.html,0.82316,0.889356,0.066196,0.586502,0.377549,-0.208953,1,5,2,0.4,0.008198,0.666667,True
full_progress,Full progress-aware policy,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_46a2c546df63,paper\results\oracle_progress_diagnosis\runs\full_progress\red_bicycle\trace_report.html,0.83487,0.914882,0.080012,0.612857,0.69353,0.080673,1,5,2,0.4,-0.003167,0.666667,False
