policy_id,policy_label,round_index,mean_best_clip,mean_baseline_clip,mean_best_dinov2,mean_baseline_dinov2
sampler_upgrade,Two-scale cover sampler,1,0.865783,0.830119,0.535046,0.403229
sampler_upgrade,Two-scale cover sampler,2,0.874706,0.830119,0.502966,0.403229
sampler_upgrade,Two-scale cover sampler,3,0.874706,0.830119,0.504013,0.403229
sampler_upgrade,Two-scale cover sampler,4,0.878637,0.830119,0.583895,0.403229
sampler_upgrade,Two-scale cover sampler,5,0.884497,0.830119,0.502535,0.403229
sampler_upgrade,Two-scale cover sampler,6,0.884497,0.830119,0.549445,0.403229
full_progress,Full progress-aware policy,1,0.872389,0.831869,0.565437,0.493792
full_progress,Full progress-aware policy,2,0.872389,0.831869,0.559104,0.493792
full_progress,Full progress-aware policy,3,0.872389,0.831869,0.487446,0.493792
full_progress,Full progress-aware policy,4,0.874781,0.831869,0.598738,0.493792
full_progress,Full progress-aware policy,5,0.878936,0.831869,0.519883,0.493792
full_progress,Full progress-aware policy,6,0.87642,0.831869,0.52153,0.493792
bt_clip,Bradley-Terry cover,1,0.864143,0.859746,0.532306,0.38664
bt_clip,Bradley-Terry cover,2,0.874425,0.859746,0.551248,0.38664
bt_clip,Bradley-Terry cover,3,0.874425,0.859746,0.552139,0.38664
bt_clip,Bradley-Terry cover,4,0.874425,0.859746,0.548711,0.38664
bt_clip,Bradley-Terry cover,5,0.876195,0.859746,0.568347,0.38664
bt_clip,Bradley-Terry cover,6,0.878053,0.859746,0.631144,0.38664
bt_progress,Bradley-Terry progress-aware,1,0.875449,0.819709,0.565309,0.376957
bt_progress,Bradley-Terry progress-aware,2,0.875449,0.819709,0.569626,0.376957
bt_progress,Bradley-Terry progress-aware,3,0.874199,0.819709,0.53695,0.376957
bt_progress,Bradley-Terry progress-aware,4,0.87758,0.819709,0.571389,0.376957
bt_progress,Bradley-Terry progress-aware,5,0.883735,0.819709,0.636058,0.376957
bt_progress,Bradley-Terry progress-aware,6,0.883022,0.819709,0.629935,0.376957
