policy_id,policy_label,oracle_policy,target_id,target_label,session_id,trace_report,baseline_clip,final_clip,delta_clip,baseline_dinov2,final_dinov2,delta_dinov2,late_improvement_rounds,incumbent_rounds,incumbent_selected_rounds,incumbent_selection_share,mean_incumbent_margin_clip,unique_selected_ratio,last_three_plateau
sampler_upgrade,Two-scale cover sampler,clip_only,mountain_lake,Mountain lake landscape,ses_8c2d42e07a5f,paper\results\oracle_progress_followup\runs\sampler_upgrade\mountain_lake\trace_report.html,0.741576,0.844991,0.103415,0.065489,0.483411,0.417922,2,5,2,0.4,-0.000172,0.666667,False
sampler_upgrade,Two-scale cover sampler,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_3ebfbbff3907,paper\results\oracle_progress_followup\runs\sampler_upgrade\cat_portrait_bw\trace_report.html,0.825588,0.885306,0.059718,0.429576,0.450302,0.020726,1,5,3,0.6,0.00351,0.5,True
sampler_upgrade,Two-scale cover sampler,clip_only,red_bicycle,Red bicycle street photo,ses_79f7190dbf27,paper\results\oracle_progress_followup\runs\sampler_upgrade\red_bicycle\trace_report.html,0.923194,0.923194,0.0,0.714622,0.714622,0.0,0,5,5,1.0,0.035254,0.166667,True
full_progress,Full progress-aware policy,clip_margin_mix,mountain_lake,Mountain lake landscape,ses_595ac01baa79,paper\results\oracle_progress_followup\runs\full_progress\mountain_lake\trace_report.html,0.833174,0.855356,0.022182,0.479495,0.430966,-0.048529,2,5,3,0.6,0.007742,0.5,False
full_progress,Full progress-aware policy,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_b28917ecec96,paper\results\oracle_progress_followup\runs\full_progress\cat_portrait_bw\trace_report.html,0.862806,0.862806,0.0,0.272064,0.41048,0.138416,1,5,5,1.0,0.010194,0.166667,True
full_progress,Full progress-aware policy,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_97eb755ee032,paper\results\oracle_progress_followup\runs\full_progress\red_bicycle\trace_report.html,0.799628,0.911099,0.111471,0.729818,0.723143,-0.006675,0,5,3,0.6,0.022148,0.5,False
bt_clip,Bradley-Terry cover,clip_only,mountain_lake,Mountain lake landscape,ses_fe8473766b03,paper\results\oracle_progress_followup\runs\bt_clip\mountain_lake\trace_report.html,0.817769,0.848615,0.030846,0.401354,0.503789,0.102435,0,5,4,0.8,0.020286,0.333333,True
bt_clip,Bradley-Terry cover,clip_only,cat_portrait_bw,Black-and-white cat portrait,ses_e15225f66476,paper\results\oracle_progress_followup\runs\bt_clip\cat_portrait_bw\trace_report.html,0.876939,0.878421,0.001482,0.085952,0.661932,0.57598,0,5,5,1.0,0.022829,0.166667,True
bt_clip,Bradley-Terry cover,clip_only,red_bicycle,Red bicycle street photo,ses_0fc150aa4b39,paper\results\oracle_progress_followup\runs\bt_clip\red_bicycle\trace_report.html,0.884531,0.907122,0.022591,0.672613,0.727711,0.055098,2,5,3,0.6,0.01759,0.5,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,mountain_lake,Mountain lake landscape,ses_b94eafa13d31,paper\results\oracle_progress_followup\runs\bt_progress\mountain_lake\trace_report.html,0.760471,0.855152,0.094681,0.224588,0.483867,0.259279,2,5,3,0.6,0.002364,0.5,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,cat_portrait_bw,Black-and-white cat portrait,ses_e014b1a6e98f,paper\results\oracle_progress_followup\runs\bt_progress\cat_portrait_bw\trace_report.html,0.822798,0.857262,0.034464,0.201102,0.695042,0.49394,2,5,1,0.2,-0.000491,0.833333,False
bt_progress,Bradley-Terry progress-aware,clip_margin_mix,red_bicycle,Red bicycle street photo,ses_8ed89b4f1b2a,paper\results\oracle_progress_followup\runs\bt_progress\red_bicycle\trace_report.html,0.875857,0.936653,0.060796,0.705181,0.710896,0.005715,0,5,5,1.0,0.038621,0.166667,True
