run_id,cell_id,trial_id,repeat_index,prompt_id,prompt_label,baseline_id,baseline_label,session_id,experiment_id,rounds_completed,feedback_events,selected_candidate_id,trace_report,runtime_root,policy_mode,status,error
product_hero_shot__seed_fixed_per_round__r1,product_hero_shot__seed_fixed_per_round,r1,0,product_hero_shot,Product hero shot,seed_fixed_per_round,Seed policy: fixed per round,ses_109e8aaf1499,exp_4f636e2b2624,2,1,cand_1b5d5cfe381e,runs\product_hero_shot__seed_fixed_per_round__r1\trace_report.html,runs\product_hero_shot__seed_fixed_per_round__r1\runtime,steering_loop,completed,
product_hero_shot__seed_fixed_per_round__r2,product_hero_shot__seed_fixed_per_round,r2,1,product_hero_shot,Product hero shot,seed_fixed_per_round,Seed policy: fixed per round,ses_ed4a32952692,exp_0941a95816d2,2,1,cand_f5dd6ce700b2,runs\product_hero_shot__seed_fixed_per_round__r2\trace_report.html,runs\product_hero_shot__seed_fixed_per_round__r2\runtime,steering_loop,completed,
product_hero_shot__seed_fixed_per_round__r3,product_hero_shot__seed_fixed_per_round,r3,2,product_hero_shot,Product hero shot,seed_fixed_per_round,Seed policy: fixed per round,ses_37f7f43f68d2,exp_0d810edfbff1,2,1,cand_395de517dc2d,runs\product_hero_shot__seed_fixed_per_round__r3\trace_report.html,runs\product_hero_shot__seed_fixed_per_round__r3\runtime,steering_loop,completed,
product_hero_shot__seed_fixed_per_candidate__r1,product_hero_shot__seed_fixed_per_candidate,r1,0,product_hero_shot,Product hero shot,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_7a461ca80478,exp_bde5c14f0c27,2,1,cand_7716d3b82af5,runs\product_hero_shot__seed_fixed_per_candidate__r1\trace_report.html,runs\product_hero_shot__seed_fixed_per_candidate__r1\runtime,steering_loop,completed,
product_hero_shot__seed_fixed_per_candidate__r2,product_hero_shot__seed_fixed_per_candidate,r2,1,product_hero_shot,Product hero shot,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_d4e9a28db87e,exp_caa8369eb6ca,2,1,cand_dad6056415f1,runs\product_hero_shot__seed_fixed_per_candidate__r2\trace_report.html,runs\product_hero_shot__seed_fixed_per_candidate__r2\runtime,steering_loop,completed,
product_hero_shot__seed_fixed_per_candidate__r3,product_hero_shot__seed_fixed_per_candidate,r3,2,product_hero_shot,Product hero shot,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_908384cb0673,exp_6ed6e3c6a214,2,1,cand_aa19c96f4e59,runs\product_hero_shot__seed_fixed_per_candidate__r3\trace_report.html,runs\product_hero_shot__seed_fixed_per_candidate__r3\runtime,steering_loop,completed,
portrait_character__seed_fixed_per_round__r1,portrait_character__seed_fixed_per_round,r1,0,portrait_character,Portrait / character,seed_fixed_per_round,Seed policy: fixed per round,ses_9890190f3e83,exp_ecdcbac4dab6,2,1,cand_dd4d608c6d8b,runs\portrait_character__seed_fixed_per_round__r1\trace_report.html,runs\portrait_character__seed_fixed_per_round__r1\runtime,steering_loop,completed,
portrait_character__seed_fixed_per_round__r2,portrait_character__seed_fixed_per_round,r2,1,portrait_character,Portrait / character,seed_fixed_per_round,Seed policy: fixed per round,ses_b6e0bfec954a,exp_53a1c6f5ee98,2,1,cand_c282bfd11865,runs\portrait_character__seed_fixed_per_round__r2\trace_report.html,runs\portrait_character__seed_fixed_per_round__r2\runtime,steering_loop,completed,
portrait_character__seed_fixed_per_round__r3,portrait_character__seed_fixed_per_round,r3,2,portrait_character,Portrait / character,seed_fixed_per_round,Seed policy: fixed per round,ses_66b569f70b4a,exp_edca0ffe649f,2,1,cand_c185e2837539,runs\portrait_character__seed_fixed_per_round__r3\trace_report.html,runs\portrait_character__seed_fixed_per_round__r3\runtime,steering_loop,completed,
portrait_character__seed_fixed_per_candidate__r1,portrait_character__seed_fixed_per_candidate,r1,0,portrait_character,Portrait / character,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_ed7309b8b10f,exp_4e9e4ec82086,2,1,cand_13a3e43a2ef1,runs\portrait_character__seed_fixed_per_candidate__r1\trace_report.html,runs\portrait_character__seed_fixed_per_candidate__r1\runtime,steering_loop,completed,
portrait_character__seed_fixed_per_candidate__r2,portrait_character__seed_fixed_per_candidate,r2,1,portrait_character,Portrait / character,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_597984d232f1,exp_b717f9416c39,2,1,cand_1214f034447d,runs\portrait_character__seed_fixed_per_candidate__r2\trace_report.html,runs\portrait_character__seed_fixed_per_candidate__r2\runtime,steering_loop,completed,
portrait_character__seed_fixed_per_candidate__r3,portrait_character__seed_fixed_per_candidate,r3,2,portrait_character,Portrait / character,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_d269bc017bfe,exp_89ee048df188,2,1,cand_24ded73a3a2d,runs\portrait_character__seed_fixed_per_candidate__r3\trace_report.html,runs\portrait_character__seed_fixed_per_candidate__r3\runtime,steering_loop,completed,
