policy_label,round_index,mean_best_clip,mean_baseline_clip,mean_best_dinov2,mean_baseline_dinov2
Content-masked offset,1,0.8784,0.822268,0.466769,0.356125
Content-masked offset,2,0.883871,0.822268,0.554913,0.356125
Content-masked offset,3,0.883871,0.822268,0.567086,0.356125
Content-masked offset,4,0.883871,0.822268,0.567086,0.356125
Content-masked offset,5,0.883871,0.822268,0.573085,0.356125
Shared-token offset,1,0.842085,0.815959,0.428094,0.345693
Shared-token offset,2,0.856128,0.815959,0.564381,0.345693
Shared-token offset,3,0.871081,0.815959,0.564381,0.345693
Shared-token offset,4,0.878756,0.815959,0.642567,0.345693
Shared-token offset,5,0.878756,0.815959,0.642567,0.345693
Token-factorized offset,1,0.851497,0.816206,0.520813,0.326781
Token-factorized offset,2,0.87451,0.816206,0.590482,0.326781
Token-factorized offset,3,0.878906,0.816206,0.638518,0.326781
Token-factorized offset,4,0.878906,0.816206,0.638518,0.326781
Token-factorized offset,5,0.878906,0.816206,0.638518,0.326781
Token-vector-field offset,1,0.847359,0.837586,0.506299,0.429967
Token-vector-field offset,2,0.861136,0.837586,0.506299,0.429967
Token-vector-field offset,3,0.879637,0.837586,0.506299,0.429967
Token-vector-field offset,4,0.881679,0.837586,0.551017,0.429967
Token-vector-field offset,5,0.881679,0.837586,0.622065,0.429967
