policy_id,policy_label,steering_mode,target_id,target_label,sampler,updater,feedback_mode,oracle_policy,max_rounds,baseline_clip,final_best_clip,delta_clip,baseline_dinov2,final_best_dinov2,delta_dinov2,final_best_image_path,target_path,trace_report
global_shared,Shared-token offset,low_dimensional,mountain_lake,Mountain lake landscape,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.765668,0.84398,0.078312,0.180063,0.481225,0.301162,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\global_shared\mountain_lake\runtime\artifacts\cand_819570365f06.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\Mountain%20lake.jpg,runs\global_shared\mountain_lake\trace_report.html
content_masked,Content-masked offset,content_masked,mountain_lake,Mountain lake landscape,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.792091,0.853895,0.061804,0.23438,0.501525,0.267145,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\content_masked\mountain_lake\runtime\artifacts\cand_5e29d40f5f7c.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\Mountain%20lake.jpg,runs\content_masked\mountain_lake\trace_report.html
token_factorized,Token-factorized offset,token_factorized,mountain_lake,Mountain lake landscape,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.772165,0.83727,0.065105,0.155893,0.535958,0.380065,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\token_factorized\mountain_lake\runtime\artifacts\cand_fab5cfcb6c3d.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\Mountain%20lake.jpg,runs\token_factorized\mountain_lake\trace_report.html
token_vector_field,Token-vector-field offset,token_vector_field,mountain_lake,Mountain lake landscape,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.808096,0.843991,0.035895,0.372901,0.575276,0.202375,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\token_vector_field\mountain_lake\runtime\artifacts\cand_df2e15a483ca.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\Mountain%20lake.jpg,runs\token_vector_field\mountain_lake\trace_report.html
global_shared,Shared-token offset,low_dimensional,cat_portrait_bw,Black-and-white cat portrait,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.85059,0.875042,0.024452,0.165225,0.693011,0.527786,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\global_shared\cat_portrait_bw\runtime\artifacts\cand_0373cd4c42a0.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\Cat_portrait_B%26W.JPG,runs\global_shared\cat_portrait_bw\trace_report.html
content_masked,Content-masked offset,content_masked,cat_portrait_bw,Black-and-white cat portrait,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.848305,0.879995,0.03169,0.297114,0.49476,0.197646,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\content_masked\cat_portrait_bw\runtime\artifacts\cand_18b4a68b32c5.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\Cat_portrait_B%26W.JPG,runs\content_masked\cat_portrait_bw\trace_report.html
token_factorized,Token-factorized offset,token_factorized,cat_portrait_bw,Black-and-white cat portrait,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.823789,0.891698,0.067909,0.306605,0.63025,0.323645,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\token_factorized\cat_portrait_bw\runtime\artifacts\cand_63ccbbc2cd19.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\Cat_portrait_B%26W.JPG,runs\token_factorized\cat_portrait_bw\trace_report.html
token_vector_field,Token-vector-field offset,token_vector_field,cat_portrait_bw,Black-and-white cat portrait,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.813434,0.878795,0.065361,0.158455,0.532374,0.373919,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\token_vector_field\cat_portrait_bw\runtime\artifacts\cand_29900c9644ab.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\Cat_portrait_B%26W.JPG,runs\token_vector_field\cat_portrait_bw\trace_report.html
global_shared,Shared-token offset,low_dimensional,red_bicycle,Red bicycle street photo,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.83162,0.917246,0.085626,0.691792,0.753465,0.061673,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\global_shared\red_bicycle\runtime\artifacts\cand_390ae7022b5a.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\global_shared\red_bicycle\trace_report.html
content_masked,Content-masked offset,content_masked,red_bicycle,Red bicycle street photo,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.826407,0.917724,0.091317,0.536881,0.72297,0.186089,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\content_masked\red_bicycle\runtime\artifacts\cand_601149e141dd.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\content_masked\red_bicycle\trace_report.html
token_factorized,Token-factorized offset,token_factorized,red_bicycle,Red bicycle street photo,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.852663,0.90775,0.055087,0.517846,0.749346,0.2315,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\token_factorized\red_bicycle\runtime\artifacts\cand_f05a5a6cb4ca.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\token_factorized\red_bicycle\trace_report.html
token_vector_field,Token-vector-field offset,token_vector_field,red_bicycle,Red bicycle street photo,diversity_shell,bradley_terry_preference,top_k,clip_dino_ensemble,5,0.891229,0.922252,0.031023,0.758546,0.758546,-0.0,E:\Projects\StableSteering\paper\results\steering_mode_comparison\runs\token_vector_field\red_bicycle\runtime\artifacts\cand_5b79931edc43.png,E:\Projects\StableSteering\paper\results\steering_mode_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\token_vector_field\red_bicycle\trace_report.html
