policy_label,round_index,mean_best_clip,mean_baseline_clip,mean_best_dinov2,mean_baseline_dinov2
Content-masked offset,1,0.829327,0.804375,0.459901,0.313807
Content-masked offset,2,0.829327,0.804375,0.459901,0.313807
Content-masked offset,3,0.829327,0.804375,0.459901,0.313807
Content-masked offset,4,0.838925,0.804375,0.501198,0.313807
Content-masked offset,5,0.838925,0.804375,0.501198,0.313807
Shared-token offset,1,0.854271,0.752652,0.45636,0.14678
Shared-token offset,2,0.854271,0.752652,0.45636,0.14678
Shared-token offset,3,0.854271,0.752652,0.45636,0.14678
Shared-token offset,4,0.854271,0.752652,0.45636,0.14678
Shared-token offset,5,0.854271,0.752652,0.45636,0.14678
Token-factorized offset,1,0.788584,0.788584,0.384398,0.384398
Token-factorized offset,2,0.803819,0.788584,0.433934,0.384398
Token-factorized offset,3,0.827124,0.788584,0.433934,0.384398
Token-factorized offset,4,0.827124,0.788584,0.572556,0.384398
Token-factorized offset,5,0.827124,0.788584,0.572556,0.384398
