run_id,cell_id,trial_id,repeat_index,prompt_id,prompt_label,baseline_id,baseline_label,session_id,round_id,round_index,candidate_count,feedback_count,render_status,latency_ms,selected_candidate_id
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_2f9fc6651bff,1,5,1,succeeded,75,cand_34a3353e75f7
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_77fb10089547,2,5,0,succeeded,75,cand_34a3353e75f7
product_hero_shot__updater_winner_copy__r2,product_hero_shot__updater_winner_copy,r2,1,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_b7eb2076c23f,rnd_5c83176bf043,1,5,1,succeeded,75,cand_2f7672f3144c
product_hero_shot__updater_winner_copy__r2,product_hero_shot__updater_winner_copy,r2,1,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_b7eb2076c23f,rnd_3655adeee9bc,2,5,0,succeeded,75,cand_2f7672f3144c
product_hero_shot__updater_winner_copy__r3,product_hero_shot__updater_winner_copy,r3,2,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_d17dcbeb8bc8,rnd_79012ba01ffe,1,5,1,succeeded,75,cand_11d870d0735d
product_hero_shot__updater_winner_copy__r3,product_hero_shot__updater_winner_copy,r3,2,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_d17dcbeb8bc8,rnd_a28140e01bab,2,5,0,succeeded,75,cand_11d870d0735d
product_hero_shot__updater_winner_average__r1,product_hero_shot__updater_winner_average,r1,0,product_hero_shot,Product hero shot,updater_winner_average,Updater: winner average,ses_0c3d6f2be086,rnd_0f2aa24a9d19,1,5,1,succeeded,75,cand_d31e70c65e09
product_hero_shot__updater_winner_average__r1,product_hero_shot__updater_winner_average,r1,0,product_hero_shot,Product hero shot,updater_winner_average,Updater: winner average,ses_0c3d6f2be086,rnd_0443a69be7cf,2,5,0,succeeded,75,cand_d31e70c65e09
product_hero_shot__updater_winner_average__r2,product_hero_shot__updater_winner_average,r2,1,product_hero_shot,Product hero shot,updater_winner_average,Updater: winner average,ses_41d00290b3d0,rnd_4c74e6f26832,1,5,1,succeeded,75,cand_6aec911ed59e
product_hero_shot__updater_winner_average__r2,product_hero_shot__updater_winner_average,r2,1,product_hero_shot,Product hero shot,updater_winner_average,Updater: winner average,ses_41d00290b3d0,rnd_d6eb42210038,2,5,0,succeeded,75,cand_6aec911ed59e
product_hero_shot__updater_winner_average__r3,product_hero_shot__updater_winner_average,r3,2,product_hero_shot,Product hero shot,updater_winner_average,Updater: winner average,ses_f32cc2ff7b27,rnd_9c90f7e3f5b9,1,5,1,succeeded,75,cand_783b286d10a2
product_hero_shot__updater_winner_average__r3,product_hero_shot__updater_winner_average,r3,2,product_hero_shot,Product hero shot,updater_winner_average,Updater: winner average,ses_f32cc2ff7b27,rnd_88dd9447a3e6,2,5,0,succeeded,75,cand_783b286d10a2
