run_id,cell_id,trial_id,repeat_index,prompt_id,prompt_label,baseline_id,baseline_label,session_id,experiment_id,rounds_completed,feedback_events,selected_candidate_id,trace_report,runtime_root,policy_mode,status,error
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,exp_23e9e75eef88,2,1,cand_34a3353e75f7,runs\product_hero_shot__updater_winner_copy__r1\trace_report.html,runs\product_hero_shot__updater_winner_copy__r1\runtime,steering_loop,completed,
product_hero_shot__updater_winner_copy__r2,product_hero_shot__updater_winner_copy,r2,1,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_b7eb2076c23f,exp_dc4f0bd641ee,2,1,cand_2f7672f3144c,runs\product_hero_shot__updater_winner_copy__r2\trace_report.html,runs\product_hero_shot__updater_winner_copy__r2\runtime,steering_loop,completed,
product_hero_shot__updater_winner_copy__r3,product_hero_shot__updater_winner_copy,r3,2,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_d17dcbeb8bc8,exp_7641a07df898,2,1,cand_11d870d0735d,runs\product_hero_shot__updater_winner_copy__r3\trace_report.html,runs\product_hero_shot__updater_winner_copy__r3\runtime,steering_loop,completed,
product_hero_shot__updater_winner_average__r1,product_hero_shot__updater_winner_average,r1,0,product_hero_shot,Product hero shot,updater_winner_average,Updater: winner average,ses_0c3d6f2be086,exp_91559e2358a9,2,1,cand_d31e70c65e09,runs\product_hero_shot__updater_winner_average__r1\trace_report.html,runs\product_hero_shot__updater_winner_average__r1\runtime,steering_loop,completed,
product_hero_shot__updater_winner_average__r2,product_hero_shot__updater_winner_average,r2,1,product_hero_shot,Product hero shot,updater_winner_average,Updater: winner average,ses_41d00290b3d0,exp_5856741a8bd9,2,1,cand_6aec911ed59e,runs\product_hero_shot__updater_winner_average__r2\trace_report.html,runs\product_hero_shot__updater_winner_average__r2\runtime,steering_loop,completed,
product_hero_shot__updater_winner_average__r3,product_hero_shot__updater_winner_average,r3,2,product_hero_shot,Product hero shot,updater_winner_average,Updater: winner average,ses_f32cc2ff7b27,exp_23bc54b16a42,2,1,cand_783b286d10a2,runs\product_hero_shot__updater_winner_average__r3\trace_report.html,runs\product_hero_shot__updater_winner_average__r3\runtime,steering_loop,completed,
product_hero_shot__updater_linear_preference__r1,product_hero_shot__updater_linear_preference,r1,0,product_hero_shot,Product hero shot,updater_linear_preference,Updater: linear preference,ses_3073c72dcf10,exp_67585142eb6b,2,1,cand_7b9a2d565117,runs\product_hero_shot__updater_linear_preference__r1\trace_report.html,runs\product_hero_shot__updater_linear_preference__r1\runtime,steering_loop,completed,
product_hero_shot__updater_linear_preference__r2,product_hero_shot__updater_linear_preference,r2,1,product_hero_shot,Product hero shot,updater_linear_preference,Updater: linear preference,ses_c410ebb7fdb9,exp_53c3fece4163,2,1,cand_6c1df9e6c300,runs\product_hero_shot__updater_linear_preference__r2\trace_report.html,runs\product_hero_shot__updater_linear_preference__r2\runtime,steering_loop,completed,
product_hero_shot__updater_linear_preference__r3,product_hero_shot__updater_linear_preference,r3,2,product_hero_shot,Product hero shot,updater_linear_preference,Updater: linear preference,ses_7d133b6a3bbb,exp_a61648a71c94,2,1,cand_c9e12f3abc1b,runs\product_hero_shot__updater_linear_preference__r3\trace_report.html,runs\product_hero_shot__updater_linear_preference__r3\runtime,steering_loop,completed,
portrait_character__updater_winner_copy__r1,portrait_character__updater_winner_copy,r1,0,portrait_character,Portrait / character,updater_winner_copy,Updater: winner copy,ses_69ab6612acfd,exp_c73b73ac03c9,2,1,cand_2452ec7cdddd,runs\portrait_character__updater_winner_copy__r1\trace_report.html,runs\portrait_character__updater_winner_copy__r1\runtime,steering_loop,completed,
portrait_character__updater_winner_copy__r2,portrait_character__updater_winner_copy,r2,1,portrait_character,Portrait / character,updater_winner_copy,Updater: winner copy,ses_7ba2d9aceb36,exp_12f4f3fd9f13,2,1,cand_47ba39add012,runs\portrait_character__updater_winner_copy__r2\trace_report.html,runs\portrait_character__updater_winner_copy__r2\runtime,steering_loop,completed,
portrait_character__updater_winner_copy__r3,portrait_character__updater_winner_copy,r3,2,portrait_character,Portrait / character,updater_winner_copy,Updater: winner copy,ses_a98264d0c10a,exp_6bf1ab1d1f6a,2,1,cand_ad5144bd1364,runs\portrait_character__updater_winner_copy__r3\trace_report.html,runs\portrait_character__updater_winner_copy__r3\runtime,steering_loop,completed,
portrait_character__updater_winner_average__r1,portrait_character__updater_winner_average,r1,0,portrait_character,Portrait / character,updater_winner_average,Updater: winner average,ses_f2180abe0a0e,exp_24b3551ae63e,2,1,cand_0d3ec72e69e0,runs\portrait_character__updater_winner_average__r1\trace_report.html,runs\portrait_character__updater_winner_average__r1\runtime,steering_loop,completed,
portrait_character__updater_winner_average__r2,portrait_character__updater_winner_average,r2,1,portrait_character,Portrait / character,updater_winner_average,Updater: winner average,ses_9ed3abf394cd,exp_cca5d0485ea1,2,1,cand_6a1da05261c0,runs\portrait_character__updater_winner_average__r2\trace_report.html,runs\portrait_character__updater_winner_average__r2\runtime,steering_loop,completed,
portrait_character__updater_winner_average__r3,portrait_character__updater_winner_average,r3,2,portrait_character,Portrait / character,updater_winner_average,Updater: winner average,ses_092c3007f2f8,exp_27a39b1b51a5,2,1,cand_748377fa4e9b,runs\portrait_character__updater_winner_average__r3\trace_report.html,runs\portrait_character__updater_winner_average__r3\runtime,steering_loop,completed,
portrait_character__updater_linear_preference__r1,portrait_character__updater_linear_preference,r1,0,portrait_character,Portrait / character,updater_linear_preference,Updater: linear preference,ses_5334d9e82801,exp_808514e908c2,2,1,cand_edc9e87caef3,runs\portrait_character__updater_linear_preference__r1\trace_report.html,runs\portrait_character__updater_linear_preference__r1\runtime,steering_loop,completed,
portrait_character__updater_linear_preference__r2,portrait_character__updater_linear_preference,r2,1,portrait_character,Portrait / character,updater_linear_preference,Updater: linear preference,ses_bcfca5f8f98c,exp_6127984c5d34,2,1,cand_09dbebc6443b,runs\portrait_character__updater_linear_preference__r2\trace_report.html,runs\portrait_character__updater_linear_preference__r2\runtime,steering_loop,completed,
portrait_character__updater_linear_preference__r3,portrait_character__updater_linear_preference,r3,2,portrait_character,Portrait / character,updater_linear_preference,Updater: linear preference,ses_8bbdb92e913e,exp_8dec70f3703d,2,1,cand_49ad3bb51cf7,runs\portrait_character__updater_linear_preference__r3\trace_report.html,runs\portrait_character__updater_linear_preference__r3\runtime,steering_loop,completed,
landscape_environment__updater_winner_copy__r1,landscape_environment__updater_winner_copy,r1,0,landscape_environment,Landscape / environment,updater_winner_copy,Updater: winner copy,ses_39cd71600590,exp_8b31d277eca8,2,1,cand_6ad7416f5685,runs\landscape_environment__updater_winner_copy__r1\trace_report.html,runs\landscape_environment__updater_winner_copy__r1\runtime,steering_loop,completed,
landscape_environment__updater_winner_copy__r2,landscape_environment__updater_winner_copy,r2,1,landscape_environment,Landscape / environment,updater_winner_copy,Updater: winner copy,ses_96b58f179854,exp_790a5500c2cf,2,1,cand_4d8fd10651f9,runs\landscape_environment__updater_winner_copy__r2\trace_report.html,runs\landscape_environment__updater_winner_copy__r2\runtime,steering_loop,completed,
landscape_environment__updater_winner_copy__r3,landscape_environment__updater_winner_copy,r3,2,landscape_environment,Landscape / environment,updater_winner_copy,Updater: winner copy,ses_dd68bbbe6422,exp_87ad4977ef86,2,1,cand_8b935613db02,runs\landscape_environment__updater_winner_copy__r3\trace_report.html,runs\landscape_environment__updater_winner_copy__r3\runtime,steering_loop,completed,
landscape_environment__updater_winner_average__r1,landscape_environment__updater_winner_average,r1,0,landscape_environment,Landscape / environment,updater_winner_average,Updater: winner average,ses_2eaf9d88b3a5,exp_b32acbe2a741,2,1,cand_892cc7b9158b,runs\landscape_environment__updater_winner_average__r1\trace_report.html,runs\landscape_environment__updater_winner_average__r1\runtime,steering_loop,completed,
landscape_environment__updater_winner_average__r2,landscape_environment__updater_winner_average,r2,1,landscape_environment,Landscape / environment,updater_winner_average,Updater: winner average,ses_d96c716a2ac3,exp_7e440bae777a,2,1,cand_afc6e656c9cd,runs\landscape_environment__updater_winner_average__r2\trace_report.html,runs\landscape_environment__updater_winner_average__r2\runtime,steering_loop,completed,
